district,percent households receiving food stamps,state,household language not english,percent uninsured,non-white,black/afroamerican,percent female,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,percent owner-occupied housing units,average family size,native,foreign born,percent of tot. population in poverty,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,median earnings,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,less than highschool,highschool,college or associate,bachelor or higher,office,year,target
35,9.4,alaska,13.0,17.2,0.3784651791751183,0.0124521072796934,0.4668,21.66,17.49,18.73,22.92,19.2,43.5,23.35,30.0,30.47,16.19,939.0,66.1,3.02,0.8956,0.1044,9.0,0.0957,0.3597,0.2835,0.2611,37162,0.3551,0.1825,0.1852,0.2773,0.0761,0.3277,0.3405,0.2557,state house,2020,1
36,14.6,alaska,9.3,11.8,0.4058602472632209,0.0058820325690321,0.4756,24.0,19.32,18.25,22.1,16.33,40.4,16.18,27.82,39.0,17.0,1123.0,65.9,3.13,0.9138,0.0862,10.2,0.1209,0.3575,0.2719,0.2497,39473,0.325,0.1955,0.2207,0.2588,0.0777,0.3387,0.374,0.2096,state house,2020,2
37,18.0,alaska,39.3,23.7,0.7862608797242829,0.0267538991763537,0.4332,24.59,21.47,21.31,22.44,10.19,37.2,26.76,34.34,28.81,10.09,775.0,53.0,3.6,0.7478,0.2522,13.2,0.156,0.31,0.2554,0.2786,35810,0.274,0.1749,0.152,0.3991,0.1206,0.4157,0.2978,0.1659,state house,2020,1
38,41.7,alaska,61.0,17.4,0.8996044861028336,0.0078560979574145,0.4779,38.97,22.61,15.58,15.57,7.27,27.9,36.78,22.64,30.0,10.59,703.0,55.3,4.54,0.9708,0.0292,28.9,0.121,0.2916,0.3203,0.2671,25251,0.3381,0.196,0.2645,0.2014,0.1998,0.4775,0.2253,0.0975,state house,2020,1
39,38.7,alaska,30.1,18.8,0.8969516576003285,0.0057990352047623,0.4649,39.32,22.49,15.29,15.53,7.37,27.2,38.17,35.46,17.98,8.39,607.0,67.2,4.15,0.9718,0.0282,28.4,0.1682,0.2927,0.2431,0.296,24197,0.3688,0.2302,0.1909,0.2101,0.1712,0.4915,0.2329,0.1044,state house,2020,1
40,26.4,alaska,34.5,21.2,0.7847685866244201,0.0127305646712685,0.392,32.28,23.33,17.71,18.77,7.9,31.2,24.99,36.89,31.15,6.97,813.0,51.8,4.18,0.945,0.055,15.8,0.1069,0.2073,0.2669,0.4189,49828,0.3849,0.1524,0.1449,0.3179,0.1335,0.4468,0.2812,0.1385,state house,2020,2
1,13.7,arkansas,2.6,8.9,0.419192615045467,0.3638743455497382,0.5259,24.65,21.39,18.18,19.04,16.74,39.6,32.2,47.42,17.2,3.18,702.0,56.1,3.17,0.974,0.026,21.2,0.2813,0.3712,0.1983,0.1491,28198,0.3295,0.1817,0.2278,0.2611,0.1397,0.3626,0.3244,0.1734,state house,2020,0
2,10.1,arkansas,3.1,8.4,0.1778273088477565,0.1359950899634977,0.5164,28.33,19.54,18.27,17.59,16.27,35.9,42.75,33.57,21.2,2.48,591.0,77.8,3.2,0.9736,0.0264,14.9,0.2194,0.3951,0.2286,0.1569,30338,0.3752,0.1365,0.2034,0.2849,0.1445,0.339,0.3423,0.1742,state house,2020,0
3,16.2,arkansas,8.4,8.4,0.4027268728925377,0.2952279724380589,0.5246,27.18,15.56,19.1,19.25,18.91,41.3,41.71,45.17,11.93,1.19,621.0,67.7,3.16,0.9418,0.0582,21.1,0.3004,0.4335,0.1844,0.0818,28342,0.2577,0.2112,0.1604,0.3707,0.1434,0.4162,0.309,0.1314,state house,2020,0
4,14.2,arkansas,19.5,11.4,0.3388055476931786,0.1124752335125955,0.5193,27.97,16.95,19.46,18.41,17.21,39.2,46.06,39.68,13.56,0.7,537.0,71.5,3.23,0.8839,0.1161,17.6,0.2513,0.3861,0.2117,0.1509,29693,0.2479,0.1368,0.1465,0.4688,0.1797,0.3885,0.3041,0.1277,state house,2020,0
