district,percent uninsured,state
53,11.1,florida
54,11.1,florida
55,13.6,florida
56,14.2,florida
57,9.0,florida
58,16.2,florida
59,11.3,florida
60,8.6,florida
61,15.7,florida
62,17.6,florida
63,10.7,florida
64,8.4,florida
65,8.8,florida
66,10.2,florida
67,13.7,florida
68,11.0,florida
69,9.9,florida
70,15.2,florida
71,12.1,florida
72,12.9,florida
73,8.4,florida
74,9.4,florida
75,10.4,florida
76,10.2,florida
77,12.8,florida
78,13.9,florida
79,16.2,florida
80,17.6,florida
81,11.5,florida
82,10.9,florida
83,11.3,florida
84,14.5,florida
85,9.7,florida
86,11.1,florida
87,28.2,florida
88,19.9,florida
89,9.2,florida
90,13.7,florida
91,5.7,florida
92,21.6,florida
93,12.2,florida
94,18.3,florida
95,18.0,florida
96,11.9,florida
97,10.6,florida
98,10.1,florida
99,13.8,florida
100,11.7,florida
101,19.5,florida
102,16.5,florida
103,13.1,florida
104,7.3,florida
105,16.5,florida
106,8.5,florida
107,21.3,florida
108,20.4,florida
109,22.5,florida
110,18.1,florida
111,22.1,florida
112,11.5,florida
113,20.8,florida
114,10.6,florida
115,9.3,florida
116,13.2,florida
117,19.7,florida
118,11.5,florida
119,10.9,florida
120,20.1,florida
1,14.5,georgia
2,13.5,georgia
3,10.7,georgia
4,19.4,georgia
5,17.2,georgia
6,14.8,georgia
7,15.6,georgia
8,13.9,georgia
9,11.4,georgia
10,14.6,georgia
11,12.7,georgia
12,13.2,georgia
13,16.6,georgia
14,13.0,georgia
15,15.2,georgia
16,15.7,georgia
17,11.7,georgia
18,12.1,georgia
19,13.0,georgia
20,9.6,georgia
21,11.3,georgia
22,9.2,georgia
23,15.5,georgia
24,8.9,georgia
25,5.0,georgia
26,10.3,georgia
27,12.9,georgia
28,13.9,georgia
29,23.6,georgia
30,15.8,georgia
31,10.8,georgia
32,14.3,georgia
33,13.0,georgia
34,9.8,georgia
35,13.8,georgia
36,5.1,georgia
37,14.7,georgia
38,11.7,georgia
39,17.3,georgia
40,6.4,georgia
41,26.0,georgia
42,24.6,georgia
43,6.7,georgia
44,9.5,georgia
45,4.7,georgia
46,6.4,georgia
47,6.2,georgia
48,14.0,georgia
49,6.0,georgia
50,8.1,georgia
51,9.1,georgia
52,7.6,georgia
53,13.8,georgia
54,4.7,georgia
55,11.1,georgia
56,11.7,georgia
57,11.1,georgia
58,12.4,georgia
59,13.7,georgia
60,18.1,georgia
61,13.5,georgia
62,12.4,georgia
63,10.1,georgia
64,10.7,georgia
65,10.5,georgia
66,9.7,georgia
67,12.0,georgia
68,11.8,georgia
69,9.8,georgia
70,10.4,georgia
71,8.5,georgia
72,6.3,georgia
73,12.4,georgia
74,21.4,georgia
75,18.3,georgia
76,13.1,georgia
77,22.8,georgia
78,12.1,georgia
79,10.5,georgia
80,9.4,georgia
81,21.6,georgia
82,12.8,georgia
83,9.1,georgia
84,9.9,georgia
85,18.2,georgia
86,15.1,georgia
87,14.9,georgia
88,15.7,georgia
89,9.8,georgia
90,11.5,georgia
91,11.8,georgia
92,18.2,georgia
93,8.7,georgia
94,14.4,georgia
95,11.7,georgia
96,21.8,georgia
97,9.3,georgia
98,13.0,georgia
99,39.5,georgia
100,25.0,georgia
101,19.3,georgia
102,9.7,georgia
103,10.2,georgia
104,11.8,georgia
105,10.3,georgia
106,10.7,georgia
107,15.9,georgia
108,17.1,georgia
109,10.2,georgia
110,9.6,georgia
111,10.0,georgia
112,14.1,georgia
113,13.0,georgia
114,10.1,georgia
115,13.2,georgia
116,16.4,georgia
117,10.3,georgia
118,15.1,georgia
119,7.6,georgia
120,14.4,georgia
121,9.8,georgia
122,5.8,georgia
123,12.1,georgia
124,16.7,georgia
125,14.8,georgia
126,11.0,georgia
127,11.3,georgia
128,11.7,georgia
129,11.4,georgia
130,13.2,georgia
131,12.2,georgia
132,13.6,georgia
133,8.4,georgia
134,8.1,georgia
135,17.7,georgia
136,11.8,georgia
137,11.9,georgia
138,11.5,georgia
139,16.6,georgia
140,12.1,georgia
141,7.7,georgia
142,14.8,georgia
143,13.8,georgia
144,9.1,georgia
145,11.8,georgia
146,7.6,georgia
147,15.4,georgia
148,14.6,georgia
149,13.9,georgia
150,13.8,georgia
151,15.9,georgia
152,12.8,georgia
153,17.0,georgia
154,15.2,georgia
155,15.8,georgia
156,15.8,georgia
157,15.9,georgia
158,17.4,georgia
159,10.8,georgia
160,13.1,georgia
161,8.7,georgia
162,19.2,georgia
163,15.3,georgia
164,12.3,georgia
165,16.6,georgia
166,7.4,georgia
167,12.1,georgia
168,10.6,georgia
169,17.0,georgia
170,21.7,georgia
171,18.1,georgia
172,20.2,georgia
173,17.1,georgia
174,17.5,georgia
175,11.6,georgia
176,14.6,georgia
177,18.4,georgia
178,16.0,georgia
179,15.4,georgia
180,11.8,georgia
1,3.4,hawaii
2,3.2,hawaii
3,4.5,hawaii
4,6.2,hawaii
5,4.9,hawaii
9,5.5,hawaii
10,6.7,hawaii
11,5.7,hawaii
13,4.5,hawaii
14,5.5,hawaii
15,5.1,hawaii
16,4.1,hawaii
17,1.8,hawaii
18,1.4,hawaii
19,1.6,hawaii
20,3.2,hawaii
22,4.9,hawaii
24,4.3,hawaii
30,3.7,hawaii
33,2.0,hawaii
34,2.8,hawaii
35,3.2,hawaii
36,1.8,hawaii
37,2.1,hawaii
39,3.0,hawaii
40,4.2,hawaii
41,3.5,hawaii
43,4.6,hawaii
44,5.7,hawaii
45,2.6,hawaii
47,6.3,hawaii
49,1.7,hawaii
50,3.1,hawaii
51,2.9,hawaii
1,15.3,illinois
2,13.3,illinois
3,13.8,illinois
4,9.2,illinois
5,5.7,illinois
6,9.6,illinois
7,7.0,illinois
8,8.3,illinois
9,6.2,illinois
10,8.5,illinois
11,3.0,illinois
12,4.3,illinois
13,9.9,illinois
14,11.1,illinois
15,9.0,illinois
16,10.5,illinois
17,4.1,illinois
18,3.2,illinois
19,9.0,illinois
20,6.9,illinois
21,15.2,illinois
22,9.6,illinois
23,12.8,illinois
24,15.5,illinois
25,8.0,illinois
26,5.5,illinois
27,7.0,illinois
28,8.3,illinois
29,7.6,illinois
30,8.4,illinois
31,8.1,illinois
32,11.9,illinois
33,8.9,illinois
34,7.8,illinois
35,4.6,illinois
36,7.5,illinois
37,2.5,illinois
38,5.1,illinois
39,14.5,illinois
40,14.7,illinois
41,3.2,illinois
42,3.7,illinois
43,13.8,illinois
44,10.8,illinois
45,4.1,illinois
46,8.7,illinois
47,3.1,illinois
48,4.3,illinois
49,5.5,illinois
50,2.7,illinois
51,1.9,illinois
52,4.7,illinois
53,5.3,illinois
54,5.4,illinois
55,10.1,illinois
56,5.6,illinois
57,9.9,illinois
58,3.1,illinois
59,8.4,illinois
60,15.3,illinois
61,4.8,illinois
62,8.0,illinois
63,6.7,illinois
64,4.1,illinois
65,3.9,illinois
66,3.8,illinois
67,8.4,illinois
68,5.0,illinois
69,5.0,illinois
70,5.0,illinois
71,5.4,illinois
72,6.1,illinois
73,4.0,illinois
74,3.7,illinois
75,3.6,illinois
76,4.2,illinois
77,14.4,illinois
78,6.7,illinois
79,5.5,illinois
80,5.7,illinois
81,4.6,illinois
82,3.6,illinois
83,13.8,illinois
84,8.8,illinois
85,9.1,illinois
86,10.5,illinois
87,3.6,illinois
88,5.0,illinois
89,4.6,illinois
90,4.3,illinois
91,4.2,illinois
92,7.6,illinois
93,6.2,illinois
94,4.7,illinois
95,4.3,illinois
96,5.3,illinois
97,3.8,illinois
98,4.0,illinois
99,3.3,illinois
100,4.1,illinois
101,3.3,illinois
102,7.2,illinois
103,5.1,illinois
104,5.2,illinois
105,3.6,illinois
106,5.2,illinois
107,6.4,illinois
108,3.0,illinois
109,6.5,illinois
110,6.1,illinois
111,5.5,illinois
112,5.5,illinois
113,7.1,illinois
114,5.4,illinois
115,6.1,illinois
116,4.1,illinois
117,5.7,illinois
118,6.0,illinois
1,11.9,indiana
2,10.4,indiana
3,9.2,indiana
4,5.9,indiana
5,8.0,indiana
6,10.5,indiana
7,7.7,indiana
8,4.3,indiana
9,6.4,indiana
10,5.9,indiana
11,4.0,indiana
12,4.9,indiana
13,7.4,indiana
14,6.3,indiana
15,4.0,indiana
16,5.8,indiana
17,11.9,indiana
18,7.0,indiana
19,3.6,indiana
20,7.5,indiana
21,13.3,indiana
22,15.2,indiana
23,9.2,indiana
24,3.6,indiana
25,7.6,indiana
26,6.5,indiana
27,7.4,indiana
28,4.3,indiana
29,5.5,indiana
30,7.7,indiana
31,6.8,indiana
32,7.5,indiana
33,8.8,indiana
34,9.0,indiana
35,5.9,indiana
36,9.8,indiana
37,3.4,indiana
38,6.9,indiana
39,3.3,indiana
40,6.0,indiana
41,8.2,indiana
42,6.6,indiana
43,8.1,indiana
44,5.1,indiana
45,8.0,indiana
46,7.3,indiana
47,5.6,indiana
48,10.0,indiana
49,18.0,indiana
50,7.4,indiana
51,27.2,indiana
52,6.1,indiana
53,5.2,indiana
54,7.2,indiana
55,7.3,indiana
56,11.5,indiana
57,6.4,indiana
58,7.4,indiana
59,7.8,indiana
60,6.6,indiana
61,7.3,indiana
62,6.8,indiana
63,13.8,indiana
64,4.5,indiana
65,6.4,indiana
66,7.5,indiana
67,8.6,indiana
68,5.5,indiana
69,9.5,indiana
70,4.8,indiana
71,7.7,indiana
72,5.1,indiana
73,8.3,indiana
74,5.4,indiana
75,3.5,indiana
76,5.3,indiana
77,11.4,indiana
78,6.8,indiana
79,13.1,indiana
80,13.0,indiana
81,9.7,indiana
82,10.8,indiana
83,4.5,indiana
84,5.5,indiana
85,8.1,indiana
86,6.7,indiana
87,7.2,indiana
88,4.4,indiana
89,9.0,indiana
90,5.1,indiana
91,9.0,indiana
92,11.2,indiana
93,3.9,indiana
94,11.9,indiana
95,12.4,indiana
96,10.9,indiana
97,11.9,indiana
98,13.5,indiana
99,14.1,indiana
100,12.1,indiana
1,4.8,iowa
2,4.5,iowa
3,3.9,iowa
4,4.0,iowa
5,4.8,iowa
6,4.1,iowa
7,4.7,iowa
8,3.7,iowa
9,6.2,iowa
10,4.4,iowa
11,7.3,iowa
12,3.1,iowa
13,6.7,iowa
14,7.8,iowa
15,8.5,iowa
16,5.0,iowa
17,4.5,iowa
18,6.3,iowa
19,2.3,iowa
20,6.0,iowa
21,5.9,iowa
22,2.8,iowa
23,3.4,iowa
24,5.0,iowa
25,1.8,iowa
26,3.2,iowa
27,7.6,iowa
28,3.6,iowa
29,2.7,iowa
30,2.1,iowa
31,5.8,iowa
32,9.1,iowa
33,7.4,iowa
34,6.0,iowa
35,8.6,iowa
36,3.5,iowa
37,3.0,iowa
38,3.0,iowa
39,4.4,iowa
40,2.8,iowa
41,3.3,iowa
42,4.3,iowa
43,3.4,iowa
44,3.4,iowa
45,7.4,iowa
46,4.7,iowa
47,3.1,iowa
48,2.9,iowa
49,3.3,iowa
50,3.1,iowa
51,6.1,iowa
52,5.9,iowa
53,4.9,iowa
54,6.3,iowa
55,2.6,iowa
56,7.3,iowa
57,1.9,iowa
58,4.4,iowa
59,2.8,iowa
60,3.8,iowa
61,5.2,iowa
62,6.6,iowa
63,3.2,iowa
64,5.9,iowa
65,4.9,iowa
66,4.6,iowa
67,3.2,iowa
68,2.9,iowa
69,5.1,iowa
70,4.0,iowa
71,6.6,iowa
72,4.5,iowa
73,2.2,iowa
74,5.2,iowa
75,2.5,iowa
76,4.4,iowa
77,6.5,iowa
78,6.0,iowa
79,4.1,iowa
80,6.4,iowa
81,7.7,iowa
82,12.6,iowa
83,4.7,iowa
84,3.8,iowa
85,3.7,iowa
86,5.3,iowa
87,4.8,iowa
88,4.0,iowa
89,5.5,iowa
90,9.5,iowa
91,4.2,iowa
92,3.7,iowa
93,4.1,iowa
94,3.2,iowa
95,2.4,iowa
96,3.2,iowa
97,2.9,iowa
98,6.0,iowa
99,3.4,iowa
100,5.4,iowa
1,9.8,kansas
2,9.4,kansas
3,13.5,kansas
4,9.8,kansas
5,9.1,kansas
6,5.6,kansas
7,10.4,kansas
8,2.8,kansas
9,7.9,kansas
10,9.2,kansas
11,12.7,kansas
12,11.8,kansas
13,8.3,kansas
14,6.7,kansas
15,10.7,kansas
16,6.3,kansas
17,3.9,kansas
18,4.9,kansas
19,2.8,kansas
20,2.2,kansas
21,4.6,kansas
22,12.0,kansas
23,15.6,kansas
24,8.2,kansas
25,3.9,kansas
26,4.2,kansas
27,2.6,kansas
28,4.8,kansas
29,6.0,kansas
30,5.0,kansas
31,15.8,kansas
32,29.2,kansas
33,10.0,kansas
34,23.7,kansas
35,17.6,kansas
36,7.5,kansas
37,18.6,kansas
38,4.9,kansas
39,2.6,kansas
40,5.2,kansas
41,7.6,kansas
42,5.1,kansas
43,5.9,kansas
44,6.6,kansas
45,4.2,kansas
46,9.8,kansas
47,4.6,kansas
48,3.3,kansas
49,8.0,kansas
50,5.5,kansas
51,4.5,kansas
52,1.5,kansas
53,5.0,kansas
54,6.4,kansas
55,11.5,kansas
56,5.5,kansas
57,12.3,kansas
58,13.0,kansas
59,7.2,kansas
60,8.9,kansas
61,6.5,kansas
62,6.8,kansas
63,7.9,kansas
64,5.2,kansas
65,9.1,kansas
66,6.9,kansas
67,5.2,kansas
68,6.3,kansas
69,13.6,kansas
70,8.6,kansas
71,7.0,kansas
72,8.5,kansas
73,6.6,kansas
74,7.9,kansas
75,9.0,kansas
76,9.0,kansas
77,7.4,kansas
78,3.2,kansas
79,7.7,kansas
80,10.5,kansas
81,11.9,kansas
82,4.9,kansas
83,15.4,kansas
84,15.6,kansas
85,3.8,kansas
86,22.0,kansas
87,8.1,kansas
88,11.2,kansas
89,10.7,kansas
90,5.4,kansas
91,6.1,kansas
92,13.2,kansas
93,5.4,kansas
94,5.0,kansas
95,21.0,kansas
96,17.3,kansas
97,7.1,kansas
98,14.7,kansas
99,3.3,kansas
100,4.5,kansas
101,6.8,kansas
102,12.1,kansas
103,21.2,kansas
104,3.7,kansas
105,8.8,kansas
106,5.9,kansas
107,8.0,kansas
108,6.3,kansas
109,7.7,kansas
110,6.8,kansas
111,6.1,kansas
112,14.1,kansas
113,8.8,kansas
114,9.4,kansas
115,12.1,kansas
116,9.2,kansas
117,8.4,kansas
118,8.7,kansas
119,13.9,kansas
120,8.3,kansas
121,9.3,kansas
122,13.6,kansas
123,12.0,kansas
124,16.5,kansas
125,16.0,kansas
1,5.5,kentucky
2,6.7,kentucky
3,7.2,kentucky
4,6.8,kentucky
5,6.5,kentucky
6,5.8,kentucky
7,4.1,kentucky
8,7.0,kentucky
9,8.6,kentucky
10,5.0,kentucky
11,3.9,kentucky
12,6.1,kentucky
13,4.5,kentucky
14,5.4,kentucky
15,5.4,kentucky
16,10.4,kentucky
17,5.4,kentucky
18,4.9,kentucky
19,6.7,kentucky
20,5.5,kentucky
21,7.9,kentucky
22,6.8,kentucky
23,8.6,kentucky
24,4.8,kentucky
25,4.0,kentucky
26,3.1,kentucky
27,4.3,kentucky
28,5.6,kentucky
29,2.5,kentucky
30,8.6,kentucky
31,3.3,kentucky
32,4.1,kentucky
33,3.8,kentucky
34,2.7,kentucky
35,7.9,kentucky
36,2.3,kentucky
37,8.1,kentucky
38,6.2,kentucky
39,6.8,kentucky
40,6.2,kentucky
41,4.0,kentucky
42,6.1,kentucky
43,5.2,kentucky
44,4.0,kentucky
45,2.5,kentucky
46,5.9,kentucky
47,8.8,kentucky
48,3.9,kentucky
49,4.4,kentucky
50,5.3,kentucky
51,4.1,kentucky
52,6.5,kentucky
53,3.7,kentucky
54,7.9,kentucky
55,5.6,kentucky
56,9.4,kentucky
57,8.0,kentucky
58,6.7,kentucky
59,2.5,kentucky
60,7.1,kentucky
61,3.3,kentucky
62,6.3,kentucky
63,3.9,kentucky
64,4.7,kentucky
65,8.3,kentucky
66,2.3,kentucky
67,4.8,kentucky
68,2.7,kentucky
69,6.0,kentucky
70,6.6,kentucky
71,5.5,kentucky
72,5.2,kentucky
73,4.2,kentucky
74,5.8,kentucky
75,5.4,kentucky
76,8.7,kentucky
77,10.9,kentucky
78,4.9,kentucky
79,6.4,kentucky
80,9.0,kentucky
81,5.5,kentucky
82,7.1,kentucky
83,6.5,kentucky
84,4.8,kentucky
85,5.7,kentucky
86,5.7,kentucky
87,5.5,kentucky
88,2.9,kentucky
89,6.7,kentucky
90,5.4,kentucky
91,4.4,kentucky
92,4.7,kentucky
93,5.6,kentucky
94,4.7,kentucky
95,5.0,kentucky
96,9.2,kentucky
97,4.7,kentucky
98,4.3,kentucky
99,5.4,kentucky
100,5.4,kentucky
1,6.2,maine
2,3.4,maine
3,6.4,maine
4,2.7,maine
5,7.3,maine
6,2.7,maine
7,3.7,maine
8,2.4,maine
9,2.3,maine
10,4.3,maine
11,5.1,maine
12,7.3,maine
13,9.6,maine
14,4.3,maine
15,3.5,maine
16,6.3,maine
17,8.2,maine
18,11.7,maine
19,6.6,maine
20,11.3,maine
21,7.4,maine
22,3.6,maine
23,5.8,maine
24,3.5,maine
25,4.3,maine
26,6.0,maine
27,4.2,maine
28,12.2,maine
29,1.8,maine
30,1.1,maine
31,4.7,maine
32,3.6,maine
33,12.4,maine
34,4.3,maine
35,3.7,maine
