district,less than highschool,highschool,college or associate,bachelor or higher,state
56,0.2621,0.3071,0.2883,0.1424,california
57,0.1763,0.2842,0.3277,0.2118,california
58,0.2172,0.2631,0.3082,0.2115,california
59,0.3916,0.2484,0.2612,0.0988,california
60,0.1792,0.2867,0.3275,0.2066,california
61,0.1875,0.2927,0.3393,0.1805,california
62,0.1721,0.1961,0.3077,0.3241,california
63,0.3049,0.2694,0.2924,0.1333,california
64,0.3165,0.2692,0.2865,0.1277,california
65,0.1482,0.2298,0.3177,0.3042,california
66,0.0813,0.1553,0.2636,0.4999,california
67,0.127,0.2769,0.3805,0.2155,california
68,0.0866,0.1598,0.2962,0.4574,california
69,0.317,0.2445,0.2677,0.1707,california
70,0.1632,0.1859,0.3315,0.3194,california
71,0.1126,0.2686,0.3767,0.2421,california
72,0.1637,0.2134,0.3165,0.3064,california
73,0.0588,0.1445,0.3093,0.4874,california
74,0.0618,0.1365,0.2815,0.5202,california
75,0.1261,0.2203,0.3546,0.299,california
76,0.1029,0.2095,0.3242,0.3633,california
77,0.0585,0.1288,0.2665,0.5462,california
78,0.0496,0.1331,0.2747,0.5425,california
79,0.1128,0.2036,0.3758,0.3078,california
80,0.2428,0.2777,0.3208,0.1587,california
1,0.1828,0.289,0.2621,0.2661,colorado
2,0.0285,0.0957,0.214,0.6617,colorado
3,0.0661,0.1817,0.2488,0.5034,colorado
4,0.1549,0.2165,0.2216,0.4069,colorado
5,0.1519,0.1941,0.2175,0.4365,colorado
6,0.0531,0.1445,0.2051,0.5973,colorado
7,0.166,0.2446,0.2653,0.3242,colorado
8,0.0708,0.1362,0.2229,0.5701,colorado
9,0.0696,0.1632,0.2616,0.5057,colorado
10,0.0284,0.0904,0.3363,0.5449,colorado
11,0.0854,0.1942,0.2737,0.4467,colorado
12,0.0546,0.1499,0.2369,0.5587,colorado
13,0.0329,0.1492,0.2735,0.5443,colorado
14,0.0323,0.1493,0.3297,0.4887,colorado
15,0.0475,0.2326,0.38,0.34,colorado
16,0.0593,0.2438,0.391,0.306,colorado
17,0.1346,0.3261,0.3988,0.1405,colorado
18,0.0737,0.1995,0.3583,0.3685,colorado
19,0.0429,0.1819,0.335,0.4401,colorado
20,0.0418,0.1481,0.3586,0.4514,colorado
21,0.0622,0.298,0.4354,0.2045,colorado
22,0.0308,0.1781,0.3288,0.4623,colorado
23,0.0858,0.2238,0.3008,0.3896,colorado
24,0.0584,0.219,0.2919,0.4306,colorado
25,0.0276,0.1391,0.2607,0.5726,colorado
26,0.0833,0.1765,0.2768,0.4633,colorado
27,0.0491,0.2187,0.2903,0.4418,colorado
28,0.0821,0.2424,0.2865,0.389,colorado
29,0.0711,0.2466,0.3291,0.3532,colorado
30,0.1822,0.3066,0.2844,0.2268,colorado
31,0.1299,0.309,0.3279,0.2332,colorado
32,0.2404,0.3199,0.2748,0.1648,colorado
33,0.0376,0.138,0.2568,0.5676,colorado
34,0.1538,0.33,0.3157,0.2004,colorado
35,0.1301,0.2534,0.2985,0.318,colorado
36,0.1108,0.2596,0.3367,0.293,colorado
37,0.0397,0.1488,0.2553,0.5562,colorado
38,0.0371,0.1573,0.2482,0.5573,colorado
39,0.0316,0.1771,0.3006,0.4907,colorado
40,0.0763,0.2409,0.3477,0.3351,colorado
41,0.0797,0.237,0.3243,0.3589,colorado
42,0.1997,0.3171,0.2973,0.1858,colorado
43,0.0217,0.1289,0.2766,0.5728,colorado
44,0.0407,0.1398,0.2938,0.5257,colorado
45,0.0338,0.1459,0.2939,0.5265,colorado
46,0.0951,0.2903,0.3923,0.2223,colorado
47,0.1081,0.3031,0.3703,0.2185,colorado
48,0.0992,0.2749,0.3362,0.2898,colorado
49,0.0412,0.1895,0.3335,0.4359,colorado
50,0.1995,0.3227,0.3308,0.147,colorado
51,0.0527,0.2607,0.3451,0.3414,colorado
52,0.0497,0.1622,0.2919,0.4961,colorado
53,0.0259,0.1939,0.3751,0.405,colorado
54,0.1194,0.3375,0.3446,0.1985,colorado
55,0.0889,0.2599,0.3615,0.2897,colorado
56,0.087,0.2611,0.3327,0.3192,colorado
57,0.117,0.3006,0.3116,0.2708,colorado
58,0.1018,0.3141,0.3051,0.279,colorado
59,0.0468,0.2171,0.3293,0.4069,colorado
60,0.0829,0.3407,0.3312,0.2451,colorado
61,0.0713,0.2069,0.2735,0.4483,colorado
62,0.1342,0.3075,0.3599,0.1984,colorado
63,0.1078,0.2754,0.3396,0.2772,colorado
64,0.1026,0.328,0.3587,0.2107,colorado
65,0.1503,0.3298,0.3415,0.1784,colorado
1,0.1864,0.3,0.277,0.2366,connecticut
2,0.0675,0.2162,0.2752,0.4411,connecticut
3,0.3072,0.3495,0.2408,0.1025,connecticut
