district,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,state
28,26.0,41.8,29.4,0.6,802.0,arkansas
29,17.7,52.400000000000006,25.5,1.4000000000000001,775.0,arkansas
30,18.9,48.1,28.7,2.9,831.0,arkansas
31,18.3,27.2,34.5,17.7,1069.0,arkansas
32,9.299999999999999,27.7,41.2,21.400000000000002,1216.0,arkansas
33,20.0,44.400000000000006,29.2,5.4,805.0,arkansas
34,20.2,49.8,25.1,1.9999999999999998,795.0,arkansas
35,11.8,41.3,34.3,11.1,958.0,arkansas
36,36.0,46.7,13.200000000000001,1.1,636.0,arkansas
37,33.2,51.2,13.3,0.4,660.0,arkansas
38,17.0,43.0,34.7,4.6,886.0,arkansas
39,15.8,41.7,32.2,9.2,886.0,arkansas
40,27.2,36.7,30.400000000000002,3.6999999999999997,819.0,arkansas
41,18.6,39.6,37.4,3.0,881.0,arkansas
42,25.4,40.599999999999994,31.5,0.7999999999999999,796.0,arkansas
43,19.4,36.5,36.8,4.5,909.0,arkansas
44,26.8,34.5,31.0,2.7,820.0,arkansas
45,35.0,41.8,16.5,2.3999999999999995,656.0,arkansas
46,27.3,44.6,21.6,4.8,705.0,arkansas
47,48.0,36.9,9.9,0.7,497.0,arkansas
48,45.599999999999994,37.5,8.6,0.4,505.0,arkansas
49,36.4,43.6,13.3,0.9999999999999999,615.0,arkansas
50,35.5,41.599999999999994,15.200000000000001,2.0999999999999996,617.0,arkansas
51,20.5,48.5,26.799999999999997,2.3000000000000003,778.0,arkansas
52,41.7,37.4,15.0,1.0,551.0,arkansas
53,30.6,44.599999999999994,19.1,2.5,716.0,arkansas
54,37.400000000000006,42.7,14.0,1.1,601.0,arkansas
55,33.9,49.7,9.6,0.8,614.0,arkansas
56,49.0,34.3,10.8,0.5,485.0,arkansas
57,27.7,48.5,19.8,2.0,684.0,arkansas
58,22.4,44.599999999999994,24.3,6.5,750.0,arkansas
59,27.400000000000002,51.5,15.3,2.3,682.0,arkansas
60,51.0,32.8,10.0,0.7,457.0,arkansas
61,44.7,37.1,12.1,1.5,529.0,arkansas
62,48.2,36.1,10.799999999999999,0.7,497.0,arkansas
63,34.099999999999994,40.0,18.799999999999997,2.7,626.0,arkansas
64,45.2,31.200000000000003,16.599999999999998,1.7000000000000002,524.0,arkansas
