district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
97,24.98,14.21,18.49,20.82,21.5,43.6,arkansas
98,26.02,17.15,17.88,18.58,20.37,41.2,arkansas
99,22.52,14.14,15.81,23.13,24.4,48.0,arkansas
100,18.78,13.56,14.57,20.68,32.41,53.0,arkansas
1,21.21,16.87,16.68,22.06,23.17,45.6,california
2,22.22,18.21,18.54,20.23,20.8,42.6,california
3,26.47,22.05,17.02,17.91,16.55,36.0,california
4,24.49,22.94,17.21,18.66,16.71,37.1,california
5,22.68,17.55,17.29,21.49,20.99,43.4,california
6,25.36,16.07,20.67,19.9,18.0,41.4,california
7,25.78,25.01,19.87,17.26,12.09,34.5,california
8,24.83,22.36,18.77,18.56,15.48,36.9,california
9,28.31,20.08,19.52,18.47,13.63,36.1,california
10,22.24,15.73,19.15,22.23,20.65,44.8,california
11,26.34,20.62,19.14,19.67,14.25,37.3,california
12,28.12,20.24,18.8,18.33,14.51,36.3,california
13,30.78,21.26,19.6,16.56,11.81,33.5,california
14,23.76,20.42,20.08,20.56,15.19,39.0,california
15,21.87,24.78,20.55,17.62,15.18,37.3,california
16,25.57,14.61,22.05,20.92,16.85,42.4,california
17,13.61,30.45,23.6,17.81,14.53,38.0,california
18,21.8,24.26,21.85,18.03,14.06,37.4,california
19,17.28,25.59,20.87,18.71,17.54,39.4,california
20,23.41,21.31,21.98,19.25,14.05,38.2,california
21,32.81,22.28,18.15,15.64,11.13,31.5,california
22,22.6,19.91,22.01,19.48,16.0,39.7,california
23,29.21,21.63,18.37,16.67,14.12,34.4,california
24,24.03,23.13,20.63,17.8,14.41,36.9,california
25,22.73,25.86,21.84,17.65,11.92,35.7,california
26,33.04,20.94,18.17,15.58,12.28,32.0,california
27,24.85,23.9,21.04,17.51,12.7,35.8,california
28,24.52,16.93,22.59,20.82,15.14,40.8,california
29,22.99,20.7,18.22,20.33,17.77,40.2,california
30,31.28,21.06,19.98,16.66,11.02,33.5,california
31,33.24,23.37,18.0,15.13,10.26,30.5,california
32,33.86,24.83,18.74,14.25,8.32,29.4,california
33,31.48,20.12,18.01,17.48,12.9,33.8,california
34,29.61,21.94,18.73,16.99,12.74,33.9,california
35,26.41,22.28,16.91,17.84,16.56,36.0,california
36,30.8,20.55,18.61,18.69,11.35,34.0,california
37,23.79,22.69,17.32,18.61,17.59,38.0,california
38,25.56,18.83,20.23,21.17,14.21,39.4,california
39,24.28,23.49,20.21,18.97,13.05,36.4,california
40,28.58,23.66,19.21,17.51,11.04,33.6,california
41,22.09,20.3,19.92,20.45,17.23,40.8,california
42,23.52,18.24,15.82,19.26,23.16,42.9,california
43,19.15,23.22,21.43,19.85,16.35,40.1,california
44,26.7,20.24,18.56,19.54,14.96,37.3,california
45,23.26,20.7,20.6,20.02,15.42,39.2,california
46,22.76,24.41,22.56,18.29,11.97,36.5,california
47,31.24,23.78,20.25,15.25,9.48,31.4,california
48,24.72,22.8,19.91,18.76,13.82,36.7,california
49,21.67,19.63,19.9,20.54,18.26,41.8,california
50,16.34,26.4,21.76,18.69,16.81,39.4,california
51,22.57,27.38,21.12,16.66,12.27,35.0,california
52,27.6,24.6,20.1,17.08,10.61,33.5,california
53,22.96,28.14,21.72,15.9,11.29,34.4,california
54,20.52,27.71,20.15,17.19,14.43,36.2,california
55,24.18,19.67,18.89,21.52,15.74,40.2,california
56,26.85,20.5,18.78,17.65,16.22,36.9,california
57,25.02,21.81,19.56,18.72,14.89,37.5,california
58,25.65,22.46,19.97,17.78,14.15,36.3,california
59,31.05,26.52,19.25,15.13,8.05,30.0,california
60,29.01,22.67,20.7,17.14,10.48,33.8,california
61,30.58,25.13,19.22,15.57,9.51,31.1,california
62,24.36,23.75,21.32,18.35,12.21,36.1,california
63,28.98,23.94,20.46,16.46,10.17,32.9,california
64,30.78,22.68,19.11,16.76,10.67,32.4,california
65,25.31,22.57,19.23,18.77,14.12,36.5,california
66,23.51,17.14,20.59,21.51,17.26,41.9,california
67,30.04,20.01,19.14,17.44,13.37,35.0,california
68,25.11,20.46,21.73,19.35,13.35,38.2,california
69,28.35,25.91,20.58,16.03,9.13,32.3,california
70,22.97,24.11,20.71,19.15,13.06,36.9,california
71,25.2,20.03,18.38,20.49,15.91,38.7,california
72,22.43,19.75,18.98,21.29,17.55,41.7,california
