district,household language not english,state
14,6.7,florida
15,13.5,florida
16,21.4,florida
17,8.7,florida
18,12.0,florida
19,6.9,florida
20,13.3,florida
21,13.6,florida
22,15.2,florida
23,10.9,florida
24,14.7,florida
25,9.4,florida
26,11.6,florida
27,21.1,florida
28,21.6,florida
29,22.1,florida
30,25.3,florida
31,16.7,florida
32,17.7,florida
33,6.6,florida
34,6.8,florida
35,11.5,florida
36,13.3,florida
37,13.9,florida
38,18.2,florida
39,22.1,florida
40,17.9,florida
41,29.8,florida
42,32.6,florida
43,63.6,florida
44,34.7,florida
45,31.4,florida
46,41.5,florida
47,24.6,florida
48,61.5,florida
49,37.6,florida
50,25.6,florida
51,8.7,florida
52,10.9,florida
53,14.0,florida
54,13.4,florida
55,20.6,florida
56,24.8,florida
57,22.5,florida
58,26.9,florida
59,27.5,florida
60,20.4,florida
61,27.1,florida
62,57.4,florida
63,30.9,florida
64,21.3,florida
65,14.4,florida
66,11.5,florida
67,18.8,florida
68,17.8,florida
69,14.1,florida
70,20.1,florida
71,16.4,florida
72,17.0,florida
73,13.0,florida
74,9.5,florida
75,9.6,florida
76,15.9,florida
77,21.5,florida
78,22.8,florida
79,31.5,florida
80,42.0,florida
81,33.5,florida
82,16.3,florida
83,20.7,florida
84,21.8,florida
85,19.4,florida
86,33.4,florida
87,64.5,florida
88,32.1,florida
89,22.7,florida
90,35.8,florida
91,22.6,florida
92,46.1,florida
93,25.8,florida
94,28.7,florida
95,34.7,florida
96,34.8,florida
97,38.0,florida
98,39.6,florida
99,45.3,florida
100,63.8,florida
101,51.7,florida
102,45.0,florida
103,83.2,florida
104,56.4,florida
105,73.4,florida
106,19.2,florida
107,64.4,florida
108,59.9,florida
109,55.3,florida
110,89.8,florida
111,90.6,florida
112,78.6,florida
113,77.4,florida
114,72.5,florida
115,71.6,florida
116,85.8,florida
117,63.0,florida
118,79.7,florida
119,88.9,florida
120,46.1,florida
1,2.5,georgia
2,3.8,georgia
3,5.4,georgia
4,35.9,georgia
5,16.9,georgia
6,20.2,georgia
7,6.5,georgia
8,5.4,georgia
9,5.8,georgia
10,11.7,georgia
11,7.9,georgia
12,7.0,georgia
13,14.0,georgia
14,6.0,georgia
15,10.5,georgia
16,9.9,georgia
17,6.8,georgia
18,8.1,georgia
19,8.4,georgia
20,13.0,georgia
21,14.3,georgia
22,14.3,georgia
23,14.6,georgia
24,18.4,georgia
25,33.0,georgia
26,12.9,georgia
27,17.1,georgia
28,6.8,georgia
29,43.2,georgia
30,32.2,georgia
31,8.6,georgia
32,6.3,georgia
33,4.8,georgia
34,17.3,georgia
35,21.0,georgia
36,13.0,georgia
37,21.2,georgia
38,18.7,georgia
39,23.0,georgia
40,16.1,georgia
41,33.0,georgia
42,31.3,georgia
43,22.5,georgia
44,18.7,georgia
45,16.0,georgia
46,12.9,georgia
47,18.5,georgia
48,29.7,georgia
49,34.3,georgia
50,41.6,georgia
51,19.4,georgia
52,17.7,georgia
53,8.0,georgia
54,16.3,georgia
55,5.8,georgia
56,14.9,georgia
57,11.4,georgia
58,7.3,georgia
59,12.1,georgia
60,13.3,georgia
61,14.3,georgia
62,7.8,georgia
63,9.7,georgia
64,9.0,georgia
65,11.0,georgia
66,10.3,georgia
67,8.2,georgia
68,5.1,georgia
69,4.7,georgia
70,10.6,georgia
71,7.9,georgia
72,11.6,georgia
73,7.8,georgia
74,23.7,georgia
75,19.1,georgia
76,15.6,georgia
77,19.3,georgia
78,15.5,georgia
79,29.7,georgia
80,25.2,georgia
81,45.7,georgia
82,30.3,georgia
83,7.5,georgia
84,8.6,georgia
85,28.2,georgia
86,25.8,georgia
87,18.6,georgia
88,17.9,georgia
89,6.4,georgia
90,10.0,georgia
91,8.5,georgia
92,11.1,georgia
93,12.5,georgia
94,16.1,georgia
95,26.0,georgia
96,51.5,georgia
97,31.2,georgia
98,28.9,georgia
99,68.7,georgia
100,55.4,georgia
101,39.2,georgia
102,34.4,georgia
103,17.9,georgia
104,24.7,georgia
105,17.0,georgia
106,23.7,georgia
107,43.0,georgia
108,41.1,georgia
109,7.7,georgia
110,4.5,georgia
111,10.8,georgia
112,4.9,georgia
113,7.5,georgia
114,11.1,georgia
115,3.5,georgia
116,14.5,georgia
117,12.0,georgia
118,17.1,georgia
119,10.0,georgia
120,6.4,georgia
121,6.9,georgia
122,10.5,georgia
123,8.9,georgia
124,7.2,georgia
125,5.0,georgia
126,5.4,georgia
127,6.6,georgia
128,2.7,georgia
129,3.7,georgia
130,4.2,georgia
131,2.8,georgia
132,7.1,georgia
133,4.4,georgia
134,10.0,georgia
135,5.9,georgia
136,7.0,georgia
137,4.5,georgia
138,7.9,georgia
139,6.6,georgia
140,6.3,georgia
141,6.1,georgia
142,4.5,georgia
143,4.3,georgia
144,3.3,georgia
145,3.5,georgia
146,8.1,georgia
147,8.6,georgia
148,3.9,georgia
149,6.2,georgia
150,3.8,georgia
151,6.8,georgia
152,4.0,georgia
153,4.2,georgia
154,2.7,georgia
155,6.9,georgia
156,9.7,georgia
157,10.3,georgia
158,5.2,georgia
159,3.3,georgia
160,6.3,georgia
161,10.4,georgia
162,12.4,georgia
163,9.5,georgia
164,14.9,georgia
165,8.0,georgia
166,7.3,georgia
167,8.8,georgia
168,12.5,georgia
169,11.0,georgia
170,7.8,georgia
171,7.6,georgia
172,14.3,georgia
173,7.7,georgia
174,7.0,georgia
175,5.3,georgia
176,8.1,georgia
177,5.7,georgia
178,3.6,georgia
179,7.2,georgia
180,5.3,georgia
1,29.8,hawaii
2,24.5,hawaii
3,23.2,hawaii
4,22.1,hawaii
5,28.4,hawaii
9,35.6,hawaii
10,27.6,hawaii
11,17.8,hawaii
13,17.9,hawaii
14,14.0,hawaii
15,23.2,hawaii
16,21.1,hawaii
17,19.2,hawaii
18,18.5,hawaii
19,24.4,hawaii
20,22.4,hawaii
22,41.2,hawaii
24,33.0,hawaii
30,36.8,hawaii
33,17.6,hawaii
34,20.3,hawaii
35,29.3,hawaii
36,14.5,hawaii
37,15.9,hawaii
39,34.7,hawaii
40,30.6,hawaii
41,26.9,hawaii
43,21.7,hawaii
44,18.1,hawaii
45,21.2,hawaii
47,21.8,hawaii
49,12.4,hawaii
50,14.7,hawaii
51,13.6,hawaii
1,74.0,illinois
2,67.6,illinois
3,70.6,illinois
4,41.8,illinois
5,15.6,illinois
6,28.9,illinois
7,22.8,illinois
8,18.6,illinois
9,19.3,illinois
10,16.3,illinois
11,15.2,illinois
12,17.8,illinois
13,37.9,illinois
14,35.6,illinois
15,50.0,illinois
16,55.7,illinois
17,32.5,illinois
18,20.4,illinois
19,46.4,illinois
20,41.7,illinois
21,64.7,illinois
22,69.0,illinois
23,59.5,illinois
24,72.2,illinois
25,29.6,illinois
26,20.6,illinois
27,12.5,illinois
28,13.8,illinois
29,7.1,illinois
30,16.3,illinois
31,19.2,illinois
32,33.9,illinois
33,16.0,illinois
34,7.4,illinois
35,17.0,illinois
36,24.2,illinois
37,9.7,illinois
