district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
66,0.0993,0.2229,0.1896,0.4882,california,51941
67,0.1266,0.2989,0.2336,0.3409,california,37401
68,0.0947,0.2272,0.2022,0.4759,california,50611
69,0.2262,0.4453,0.1736,0.1549,california,29782
70,0.152,0.316,0.2038,0.3282,california,38245
71,0.1453,0.3165,0.2296,0.3086,california,36183
72,0.1412,0.3257,0.1999,0.3332,california,36652
73,0.0758,0.1972,0.1783,0.5486,california,55338
74,0.0825,0.2054,0.1939,0.5183,california,52830
75,0.1443,0.3167,0.2012,0.3377,california,37344
76,0.1841,0.2918,0.18,0.3441,california,36496
77,0.0759,0.2134,0.1845,0.5262,california,55340
78,0.1036,0.2477,0.2347,0.414,california,48132
79,0.1282,0.3311,0.2333,0.3073,california,37361
80,0.2285,0.4261,0.1975,0.148,california,29861
1,0.1478,0.4176,0.2308,0.2038,colorado,36509
2,0.0714,0.2473,0.2755,0.4058,colorado,51446
3,0.0985,0.3004,0.2372,0.3638,colorado,44528
4,0.1208,0.321,0.2256,0.3326,colorado,42917
5,0.1168,0.3046,0.2478,0.3309,colorado,45493
6,0.0795,0.2964,0.206,0.4181,colorado,46964
7,0.1186,0.3672,0.2452,0.269,colorado,38579
8,0.0823,0.2808,0.2492,0.3877,colorado,47988
9,0.0891,0.3302,0.2884,0.2923,colorado,42798
10,0.1178,0.2873,0.195,0.3999,colorado,29121
11,0.1086,0.2849,0.24,0.3665,colorado,40053
12,0.0785,0.2781,0.2175,0.4259,colorado,45626
13,0.1033,0.2919,0.1952,0.4096,colorado,37403
14,0.0734,0.2917,0.2183,0.4166,colorado,44405
15,0.1191,0.3618,0.2367,0.2823,colorado,40439
16,0.1548,0.4092,0.2376,0.1984,colorado,31477
17,0.2543,0.4633,0.1887,0.0937,colorado,27244
18,0.1686,0.3872,0.2102,0.234,colorado,32039
19,0.0962,0.2314,0.2445,0.428,colorado,46758
20,0.2017,0.2774,0.1897,0.3312,colorado,36481
21,0.1753,0.4456,0.2445,0.1346,colorado,32828
22,0.067,0.2373,0.2508,0.4449,colorado,51767
23,0.1141,0.3506,0.2568,0.2785,colorado,39237
24,0.1001,0.3163,0.2214,0.3622,colorado,40214
25,0.0733,0.1845,0.2123,0.5299,colorado,54744
26,0.1238,0.3683,0.243,0.2649,colorado,39941
27,0.0585,0.2416,0.2621,0.4378,colorado,51753
28,0.116,0.3527,0.2484,0.2829,colorado,40622
29,0.1037,0.3229,0.289,0.2844,colorado,41927
30,0.1428,0.3874,0.2481,0.2216,colorado,38767
31,0.1063,0.3713,0.2925,0.2299,colorado,38329
32,0.1598,0.4491,0.2288,0.1622,colorado,33514
33,0.0668,0.2317,0.2188,0.4828,colorado,52196
34,0.1342,0.4264,0.2477,0.1917,colorado,35214
35,0.1242,0.3618,0.2585,0.2555,colorado,38869
36,0.1268,0.3509,0.2658,0.2566,colorado,41355
37,0.0675,0.2057,0.2339,0.493,colorado,54850
38,0.0728,0.2392,0.2378,0.4502,colorado,49783
39,0.0865,0.2223,0.1945,0.4966,colorado,50160
40,0.1053,0.3834,0.2821,0.2291,colorado,40968
41,0.1358,0.4319,0.223,0.2093,colorado,35928
42,0.1742,0.5301,0.2098,0.0859,colorado,30951
43,0.0606,0.2052,0.2093,0.525,colorado,55011
44,0.0624,0.2315,0.2165,0.4896,colorado,52044
45,0.0626,0.2023,0.2015,0.5336,colorado,54703
46,0.1765,0.3788,0.243,0.2016,colorado,32324
47,0.1783,0.3696,0.2648,0.1872,colorado,32388
48,0.0974,0.3284,0.281,0.2932,colorado,41553
49,0.0959,0.2738,0.2406,0.3897,colorado,43974
50,0.2103,0.4698,0.2116,0.1083,colorado,27425
51,0.1113,0.3682,0.2439,0.2765,colorado,38601
52,0.1446,0.3116,0.2257,0.3181,colorado,36019
53,0.1542,0.3708,0.2307,0.2444,colorado,23206
54,0.1669,0.3896,0.2369,0.2067,colorado,31333
55,0.1303,0.4253,0.2231,0.2213,colorado,31643
56,0.0885,0.2892,0.2409,0.3814,colorado,46029
57,0.1336,0.3807,0.2352,0.2506,colorado,36476
58,0.1876,0.4058,0.2343,0.1723,colorado,31384
59,0.1558,0.3756,0.2295,0.2391,colorado,31804
60,0.1588,0.3702,0.2443,0.2267,colorado,34137
61,0.1503,0.4049,0.2172,0.2276,colorado,38717
62,0.2185,0.4522,0.1965,0.1328,colorado,25704
63,0.1094,0.3107,0.2707,0.3091,colorado,42261
64,0.1697,0.3704,0.2086,0.2513,colorado,34155
65,0.1831,0.4449,0.231,0.141,colorado,31595
1,0.1683,0.4496,0.2229,0.1592,connecticut,29357
2,0.0765,0.2129,0.2299,0.4808,connecticut,50321
3,0.1616,0.5307,0.1754,0.1322,connecticut,27758
4,0.1813,0.3798,0.2011,0.2378,connecticut,26936
5,0.1518,0.3888,0.2523,0.2071,connecticut,34408
6,0.1894,0.4989,0.1911,0.1206,connecticut,29566
7,0.1928,0.4892,0.1617,0.1563,connecticut,26264
8,0.0544,0.2288,0.2822,0.4345,connecticut,54666
9,0.0798,0.353,0.2857,0.2815,connecticut,40990
10,0.1325,0.3569,0.249,0.2616,connecticut,33750
11,0.1451,0.326,0.2285,0.3005,connecticut,36021
12,0.0629,0.3266,0.3323,0.2782,connecticut,46565
13,0.0858,0.272,0.2412,0.401,connecticut,46171
14,0.0564,0.1767,0.2034,0.5634,connecticut,63424
15,0.0578,0.2873,0.2722,0.3828,connecticut,44170
16,0.0379,0.1418,0.153,0.6673,connecticut,70014
17,0.0354,0.1629,0.2029,0.5988,connecticut,66453
18,0.0511,0.1691,0.2515,0.5282,connecticut,60523
19,0.0266,0.1034,0.1916,0.6784,connecticut,74329
20,0.1189,0.2657,0.2578,0.3577,connecticut,44985
21,0.0653,0.198,0.2108,0.5259,connecticut,56227
22,0.108,0.2837,0.3317,0.2766,connecticut,43878
23,0.0692,0.2132,0.1839,0.5337,connecticut,49427
24,0.1173,0.4426,0.2529,0.1872,connecticut,37322
25,0.1795,0.5509,0.1594,0.1102,connecticut,30162
26,0.1391,0.3747,0.2941,0.192,connecticut,33833
27,0.0681,0.2467,0.3129,0.3722,connecticut,48121
28,0.0606,0.1961,0.2406,0.5026,connecticut,53467
29,0.0526,0.1882,0.3041,0.4551,connecticut,59088
30,0.0651,0.2222,0.2583,0.4545,connecticut,53179
31,0.0244,0.1347,0.1962,0.6447,connecticut,66641
32,0.0548,0.2425,0.2377,0.465,connecticut,55180
33,0.0824,0.3074,0.2655,0.3448,connecticut,41158
34,0.0524,0.1955,0.2543,0.4977,connecticut,54056
35,0.0699,0.2491,0.2418,0.4392,connecticut,47902
36,0.0376,0.1897,0.2779,0.4948,connecticut,54281
37,0.0809,0.1721,0.2327,0.5143,connecticut,53016
38,0.0509,0.2573,0.2867,0.4051,connecticut,46608
39,0.2696,0.3618,0.2106,0.158,connecticut,22118
40,0.2179,0.2894,0.2452,0.2475,connecticut,33653
41,0.0767,0.3307,0.2586,0.334,connecticut,37692
42,0.0586,0.3168,0.2758,0.3488,connecticut,42817
43,0.0483,0.2584,0.2094,0.4839,connecticut,47014
44,0.0573,0.4233,0.3157,0.2037,connecticut,39411
45,0.0998,0.3691,0.2662,0.2649,connecticut,41058
46,0.1515,0.44,0.213,0.1955,connecticut,31928
47,0.081,0.2765,0.28,0.3625,connecticut,43268
48,0.0614,0.2243,0.2442,0.4701,connecticut,54107
