district,percent female,state
22,0.5357,florida
23,0.521,florida
24,0.5264,florida
25,0.5146,florida
26,0.5204,florida
27,0.5202,florida
28,0.5261,florida
29,0.517,florida
30,0.5303,florida
31,0.531,florida
32,0.5128,florida
33,0.5073,florida
34,0.5169,florida
35,0.5329,florida
36,0.5302,florida
37,0.5068,florida
38,0.5239,florida
39,0.506,florida
40,0.5349,florida
41,0.5296,florida
42,0.5105,florida
43,0.5189,florida
44,0.524,florida
45,0.5291,florida
46,0.5286,florida
47,0.503,florida
48,0.507,florida
49,0.5024,florida
50,0.5016,florida
51,0.5131,florida
52,0.5187,florida
53,0.5204,florida
54,0.5262,florida
55,0.502,florida
56,0.4854,florida
57,0.5244,florida
58,0.5187,florida
59,0.5289,florida
60,0.5144,florida
61,0.529,florida
62,0.5204,florida
63,0.5348,florida
64,0.5303,florida
65,0.5412,florida
66,0.5269,florida
67,0.5203,florida
68,0.5236,florida
69,0.5156,florida
70,0.5428,florida
71,0.5416,florida
72,0.5333,florida
73,0.515,florida
74,0.5175,florida
75,0.517,florida
76,0.5169,florida
77,0.5201,florida
78,0.5215,florida
79,0.5174,florida
80,0.5121,florida
81,0.5087,florida
82,0.5219,florida
83,0.5202,florida
84,0.5222,florida
85,0.5216,florida
86,0.5349,florida
87,0.539,florida
88,0.5204,florida
89,0.5234,florida
90,0.5435,florida
91,0.5458,florida
92,0.4992,florida
93,0.4847,florida
94,0.4805,florida
95,0.5593,florida
96,0.5386,florida
97,0.5369,florida
98,0.5375,florida
99,0.5145,florida
100,0.5156,florida
101,0.5235,florida
102,0.5586,florida
103,0.543,florida
104,0.5318,florida
105,0.5105,florida
106,0.5323,florida
107,0.5406,florida
108,0.5245,florida
109,0.52,florida
110,0.5528,florida
111,0.5569,florida
112,0.5297,florida
113,0.4851,florida
114,0.523,florida
115,0.5097,florida
116,0.546,florida
117,0.5417,florida
118,0.5359,florida
119,0.5341,florida
120,0.4867,florida
1,0.5158,georgia
2,0.5144,georgia
3,0.5299,georgia
4,0.4945,georgia
5,0.5125,georgia
6,0.5185,georgia
7,0.5114,georgia
8,0.5208,georgia
9,0.5076,georgia
10,0.5417,georgia
11,0.5096,georgia
12,0.5027,georgia
13,0.5389,georgia
14,0.5061,georgia
15,0.5229,georgia
16,0.5136,georgia
17,0.5224,georgia
18,0.5287,georgia
19,0.5237,georgia
20,0.5147,georgia
21,0.5222,georgia
22,0.5192,georgia
23,0.5145,georgia
24,0.5106,georgia
25,0.5075,georgia
26,0.5157,georgia
27,0.5167,georgia
28,0.5164,georgia
29,0.544,georgia
30,0.5001,georgia
31,0.5111,georgia
32,0.5142,georgia
33,0.5235,georgia
34,0.5277,georgia
35,0.5294,georgia
36,0.5136,georgia
37,0.5336,georgia
38,0.5606,georgia
39,0.5724,georgia
40,0.5392,georgia
41,0.5209,georgia
42,0.5109,georgia
43,0.5237,georgia
44,0.5182,georgia
45,0.523,georgia
46,0.5268,georgia
47,0.5253,georgia
48,0.5262,georgia
49,0.512,georgia
50,0.5184,georgia
51,0.5137,georgia
52,0.5483,georgia
53,0.575,georgia
54,0.5202,georgia
55,0.5212,georgia
56,0.4445,georgia
57,0.488,georgia
58,0.5132,georgia
59,0.4947,georgia
60,0.5572,georgia
61,0.5558,georgia
62,0.5504,georgia
63,0.5361,georgia
64,0.5568,georgia
65,0.5786,georgia
66,0.5606,georgia
67,0.5037,georgia
68,0.5105,georgia
69,0.5239,georgia
70,0.5324,georgia
71,0.5043,georgia
72,0.5161,georgia
73,0.5427,georgia
74,0.5407,georgia
75,0.537,georgia
76,0.552,georgia
77,0.5857,georgia
78,0.5327,georgia
79,0.5146,georgia
80,0.5384,georgia
81,0.4876,georgia
82,0.5178,georgia
83,0.5465,georgia
84,0.5745,georgia
85,0.5484,georgia
86,0.5178,georgia
87,0.5445,georgia
88,0.5434,georgia
89,0.5371,georgia
90,0.5414,georgia
91,0.5691,georgia
92,0.5664,georgia
93,0.551,georgia
94,0.5546,georgia
95,0.5283,georgia
96,0.5418,georgia
97,0.5281,georgia
98,0.5275,georgia
99,0.5175,georgia
100,0.5328,georgia
101,0.526,georgia
102,0.5092,georgia
103,0.4925,georgia
104,0.5373,georgia
105,0.5305,georgia
106,0.5377,georgia
107,0.5185,georgia
108,0.5156,georgia
109,0.5354,georgia
110,0.5251,georgia
111,0.5433,georgia
112,0.5295,georgia
113,0.5449,georgia
114,0.5225,georgia
115,0.522,georgia
116,0.5131,georgia
117,0.5362,georgia
118,0.5311,georgia
119,0.5205,georgia
120,0.515,georgia
121,0.5216,georgia
122,0.5065,georgia
123,0.5261,georgia
124,0.5516,georgia
125,0.521,georgia
126,0.5474,georgia
127,0.4841,georgia
128,0.5004,georgia
129,0.4853,georgia
130,0.5251,georgia
131,0.528,georgia
132,0.5421,georgia
133,0.513,georgia
134,0.528,georgia
135,0.5411,georgia
136,0.4878,georgia
137,0.5151,georgia
138,0.4763,georgia
139,0.48,georgia
140,0.5367,georgia
141,0.5369,georgia
142,0.5452,georgia
143,0.5436,georgia
144,0.5298,georgia
145,0.5002,georgia
146,0.5165,georgia
147,0.5058,georgia
148,0.5264,georgia
149,0.4513,georgia
150,0.531,georgia
151,0.5119,georgia
152,0.5136,georgia
153,0.5475,georgia
154,0.5433,georgia
155,0.5339,georgia
156,0.523,georgia
157,0.46,georgia
158,0.5165,georgia
159,0.52,georgia
160,0.5055,georgia
161,0.4978,georgia
162,0.5327,georgia
163,0.5347,georgia
164,0.4946,georgia
165,0.5303,georgia
166,0.5376,georgia
167,0.5172,georgia
168,0.4985,georgia
169,0.4906,georgia
170,0.5248,georgia
171,0.5005,georgia
172,0.5209,georgia
173,0.5474,georgia
174,0.518,georgia
175,0.5159,georgia
176,0.4907,georgia
177,0.5268,georgia
178,0.4921,georgia
179,0.5419,georgia
180,0.4943,georgia
1,0.5182,hawaii
2,0.4908,hawaii
3,0.488,hawaii
4,0.5045,hawaii
5,0.5082,hawaii
6,0.4956,hawaii
7,0.5103,hawaii
8,0.5171,hawaii
9,0.5161,hawaii
10,0.4814,hawaii
11,0.4887,hawaii
12,0.5025,hawaii
13,0.5163,hawaii
14,0.4855,hawaii
15,0.5015,hawaii
16,0.5141,hawaii
17,0.5024,hawaii
18,0.519,hawaii
19,0.5274,hawaii
20,0.5149,hawaii
21,0.4829,hawaii
22,0.4467,hawaii
23,0.5084,hawaii
24,0.5227,hawaii
25,0.497,hawaii
26,0.5009,hawaii
27,0.5215,hawaii
28,0.4912,hawaii
29,0.4812,hawaii
30,0.42,hawaii
31,0.5018,hawaii
32,0.4932,hawaii
33,0.4791,hawaii
34,0.5011,hawaii
35,0.4353,hawaii
36,0.493,hawaii
37,0.4814,hawaii
38,0.5083,hawaii
39,0.4931,hawaii
40,0.496,hawaii
41,0.4991,hawaii
42,0.4973,hawaii
43,0.4952,hawaii
44,0.5046,hawaii
45,0.4078,hawaii
46,0.4752,hawaii
47,0.4886,hawaii
48,0.4972,hawaii
49,0.5078,hawaii
50,0.442,hawaii
51,0.5325,hawaii
1,0.5118,illinois
2,0.4971,illinois
3,0.5241,illinois
4,0.5021,illinois
5,0.5631,illinois
6,0.5392,illinois
7,0.5386,illinois
8,0.5543,illinois
9,0.538,illinois
10,0.5282,illinois
11,0.5069,illinois
12,0.5219,illinois
13,0.5036,illinois
14,0.5068,illinois
15,0.5267,illinois
16,0.523,illinois
17,0.5372,illinois
18,0.5255,illinois
19,0.5223,illinois
20,0.5285,illinois
21,0.4445,illinois
22,0.5012,illinois
23,0.5118,illinois
24,0.522,illinois
25,0.5545,illinois
26,0.5772,illinois
27,0.5416,illinois
28,0.5378,illinois
29,0.5551,illinois
30,0.5365,illinois
31,0.5518,illinois
32,0.5435,illinois
33,0.5595,illinois
34,0.5466,illinois
35,0.5275,illinois
36,0.5428,illinois
37,0.5136,illinois
38,0.5417,illinois
39,0.5077,illinois
40,0.4981,illinois
41,0.5163,illinois
42,0.5152,illinois
43,0.5106,illinois
44,0.5063,illinois
45,0.5125,illinois
46,0.5078,illinois
47,0.532,illinois
48,0.5205,illinois
49,0.5138,illinois
50,0.5182,illinois
