district,less than highschool,highschool,college or associate,bachelor or higher,state
47,0.083,0.3713,0.3137,0.2321,connecticut
48,0.0582,0.2694,0.2968,0.3756,connecticut
49,0.1601,0.2967,0.3912,0.152,connecticut
50,0.0721,0.2833,0.3143,0.3303,connecticut
51,0.1115,0.3211,0.3516,0.2158,connecticut
52,0.1154,0.3396,0.3064,0.2386,connecticut
53,0.0507,0.2631,0.318,0.3682,connecticut
54,0.0157,0.1355,0.6767,0.1721,connecticut
55,0.0454,0.22,0.273,0.4616,connecticut
56,0.0775,0.3304,0.2768,0.3153,connecticut
57,0.061,0.2874,0.304,0.3476,connecticut
58,0.0849,0.3776,0.2917,0.2458,connecticut
59,0.102,0.3627,0.3017,0.2336,connecticut
60,0.0669,0.2971,0.2972,0.3389,connecticut
61,0.0802,0.2399,0.2725,0.4073,connecticut
62,0.043,0.2229,0.2647,0.4695,connecticut
63,0.0979,0.3549,0.3055,0.2417,connecticut
64,0.0653,0.2797,0.2654,0.3896,connecticut
65,0.1668,0.3757,0.2943,0.1632,connecticut
66,0.0569,0.2425,0.2643,0.4363,connecticut
67,0.0738,0.2486,0.3004,0.3772,connecticut
68,0.0936,0.2914,0.32,0.295,connecticut
69,0.0649,0.2125,0.2307,0.4919,connecticut
70,0.1004,0.3492,0.313,0.2374,connecticut
71,0.1161,0.2953,0.2901,0.2985,connecticut
72,0.2396,0.3624,0.3184,0.0796,connecticut
73,0.1468,0.3548,0.2936,0.2048,connecticut
74,0.1607,0.3721,0.3232,0.144,connecticut
75,0.3456,0.3431,0.2332,0.0781,connecticut
76,0.0646,0.3002,0.2993,0.3359,connecticut
77,0.099,0.3897,0.2837,0.2276,connecticut
78,0.0914,0.3388,0.3098,0.26,connecticut
79,0.154,0.3206,0.2717,0.2536,connecticut
80,0.0789,0.3259,0.3012,0.294,connecticut
81,0.0654,0.3158,0.304,0.3147,connecticut
82,0.0824,0.3746,0.2825,0.2605,connecticut
83,0.0919,0.3328,0.3103,0.265,connecticut
84,0.1862,0.4195,0.2257,0.1686,connecticut
85,0.0789,0.3148,0.2579,0.3484,connecticut
86,0.0468,0.2771,0.281,0.3951,connecticut
87,0.0491,0.294,0.2589,0.398,connecticut
88,0.0236,0.1782,0.364,0.4341,connecticut
89,0.0584,0.24,0.2615,0.4402,connecticut
90,0.0656,0.2931,0.2251,0.4162,connecticut
91,0.0789,0.2169,0.2645,0.4397,connecticut
92,0.1299,0.3059,0.2375,0.3267,connecticut
93,0.1446,0.3058,0.3079,0.2417,connecticut
94,0.0769,0.3001,0.3476,0.2755,connecticut
95,0.3056,0.4031,0.1941,0.0971,connecticut
96,0.0792,0.2112,0.179,0.5307,connecticut
97,0.1631,0.3547,0.2644,0.2178,connecticut
98,0.0435,0.1754,0.2125,0.5686,connecticut
99,0.1218,0.4079,0.2553,0.215,connecticut
100,0.0975,0.3192,0.2662,0.3171,connecticut
101,0.0365,0.1664,0.2152,0.5819,connecticut
102,0.0662,0.2763,0.2769,0.3806,connecticut
103,0.0751,0.2466,0.2579,0.4203,connecticut
104,0.1461,0.3988,0.286,0.1691,connecticut
105,0.0771,0.3052,0.3219,0.2958,connecticut
106,0.0487,0.1901,0.2407,0.5204,connecticut
107,0.0593,0.2258,0.2637,0.4512,connecticut
108,0.046,0.2713,0.2794,0.4033,connecticut
109,0.1627,0.3128,0.2579,0.2666,connecticut
110,0.2706,0.3464,0.2176,0.1654,connecticut
111,0.0263,0.0947,0.1702,0.7088,connecticut
112,0.0636,0.2026,0.2445,0.4893,connecticut
113,0.0695,0.2786,0.2791,0.3728,connecticut
114,0.0403,0.2111,0.2146,0.534,connecticut
115,0.1246,0.363,0.322,0.1904,connecticut
116,0.1259,0.3539,0.3202,0.2,connecticut
