district,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,state
40,19.93,35.48,37.78,6.81,926.0,florida
41,22.03,36.63,36.04,5.3,869.0,florida
42,20.46,24.86,43.58,11.09,1080.0,florida
43,12.62,25.27,57.26,4.85,1151.0,florida
44,4.32,16.9,43.04,35.74,1631.0,florida
45,11.89,27.88,51.94,8.29,1145.0,florida
46,11.17,31.44,54.72,2.68,1078.0,florida
47,8.62,20.98,49.25,21.14,1320.0,florida
48,10.74,22.72,59.4,7.14,1193.0,florida
49,9.52,20.81,60.67,8.99,1228.0,florida
50,14.47,20.48,46.21,18.84,1349.0,florida
51,19.26,31.62,39.01,10.11,985.0,florida
52,16.11,26.21,41.47,16.21,1148.0,florida
53,24.68,28.56,39.71,7.05,955.0,florida
54,24.05,34.22,32.58,9.15,888.0,florida
55,41.89,35.93,18.94,3.24,613.0,florida
56,28.59,35.63,29.92,5.86,781.0,florida
57,13.49,20.56,45.76,20.19,1367.0,florida
58,18.56,31.78,42.02,7.63,996.0,florida
59,11.68,19.49,59.56,9.27,1254.0,florida
60,9.22,18.58,43.87,28.32,1439.0,florida
61,19.59,33.38,43.87,3.16,969.0,florida
62,16.58,27.35,51.39,4.68,1070.0,florida
63,8.59,28.26,45.99,17.15,1188.0,florida
64,8.15,20.74,45.56,25.55,1394.0,florida
65,15.74,30.27,37.95,16.04,1084.0,florida
66,17.4,30.04,36.45,16.12,1049.0,florida
67,15.94,32.92,44.07,7.07,1017.0,florida
68,14.56,28.2,42.41,14.82,1119.0,florida
69,15.54,29.5,40.52,14.44,1081.0,florida
70,19.45,31.05,42.71,6.78,995.0,florida
71,19.23,29.07,37.41,14.29,1029.0,florida
72,13.11,26.31,45.96,14.62,1178.0,florida
73,12.88,22.36,41.06,23.69,1362.0,florida
74,21.99,31.26,36.45,10.31,929.0,florida
75,24.06,35.06,32.44,8.44,862.0,florida
76,13.98,26.66,38.47,20.9,1188.0,florida
77,11.22,27.37,48.2,13.21,1213.0,florida
78,14.13,30.81,42.11,12.95,1078.0,florida
79,25.48,30.56,39.05,4.91,926.0,florida
80,17.86,28.12,37.09,16.93,1097.0,florida
81,12.77,26.76,32.45,28.02,1279.0,florida
82,12.42,27.13,34.27,26.18,1252.0,florida
83,13.57,24.13,47.05,15.25,1236.0,florida
84,18.44,32.15,40.2,9.22,993.0,florida
85,7.23,17.93,43.54,31.3,1556.0,florida
86,9.22,22.73,41.13,26.92,1405.0,florida
87,14.12,22.25,57.65,5.98,1167.0,florida
88,11.74,23.72,51.32,13.23,1219.0,florida
89,6.7,19.04,39.37,34.89,1603.0,florida
90,12.18,25.54,44.9,17.38,1238.0,florida
91,8.56,32.89,37.15,21.4,1181.0,florida
92,12.71,23.81,52.67,10.81,1221.0,florida
93,6.05,19.96,43.45,30.54,1460.0,florida
94,12.0,23.79,46.46,17.75,1211.0,florida
95,10.34,21.35,58.23,10.08,1231.0,florida
96,7.33,20.74,42.13,29.8,1496.0,florida
97,6.39,19.26,48.32,26.03,1504.0,florida
98,7.81,19.93,42.44,29.83,1559.0,florida
99,9.32,17.5,44.16,29.03,1466.0,florida
100,5.01,20.2,46.91,27.88,1456.0,florida
101,11.37,20.95,54.86,12.82,1271.0,florida
102,13.69,18.17,54.5,13.64,1340.0,florida
103,10.14,16.36,43.89,29.61,1510.0,florida
104,5.59,19.57,29.81,45.04,1843.0,florida
105,10.48,15.7,46.76,27.06,1489.0,florida
106,9.41,24.48,38.47,27.64,1350.0,florida
107,9.7,19.29,56.37,14.63,1256.0,florida
108,14.38,24.69,48.35,12.59,1156.0,florida
109,18.68,23.71,43.23,14.38,1120.0,florida
110,14.07,18.09,58.47,9.37,1236.0,florida
111,14.87,27.36,46.56,11.21,1114.0,florida
112,7.87,13.91,39.56,38.66,1711.0,florida
113,10.22,16.77,50.05,22.96,1365.0,florida
114,8.66,17.81,38.58,34.96,1578.0,florida
115,7.2,14.97,45.15,32.68,1561.0,florida
116,9.06,19.14,48.15,23.66,1453.0,florida
117,13.09,19.18,56.71,11.03,1265.0,florida
118,9.68,16.46,47.15,26.71,1549.0,florida
119,5.89,17.31,42.55,34.24,1662.0,florida
120,10.44,19.3,38.93,31.33,1515.0,florida
1,34.49,37.19,23.87,4.45,694.0,georgia
2,31.15,36.33,28.52,4.0,751.0,georgia
3,24.84,38.93,31.68,4.55,841.0,georgia
4,30.34,47.09,18.02,4.56,710.0,georgia
5,26.22,45.07,25.03,3.68,738.0,georgia
6,32.5,40.05,24.18,3.28,727.0,georgia
7,32.94,32.63,28.04,6.39,739.0,georgia
8,34.62,30.13,28.55,6.69,691.0,georgia
9,22.38,27.34,39.04,11.25,1005.0,georgia
10,32.65,34.35,27.97,5.03,777.0,georgia
11,26.78,38.13,29.53,5.56,788.0,georgia
12,37.69,38.96,20.35,3.0,634.0,georgia
13,23.65,45.42,25.59,5.34,776.0,georgia
14,20.99,33.02,38.35,7.64,931.0,georgia
15,18.11,38.75,37.34,5.79,932.0,georgia
16,26.39,44.55,23.7,5.36,751.0,georgia
17,16.32,19.88,48.37,15.43,1198.0,georgia
18,24.31,44.82,25.8,5.07,766.0,georgia
19,12.84,24.87,53.3,8.99,1161.0,georgia
20,9.25,16.98,56.24,17.52,1405.0,georgia
21,11.72,18.29,51.11,18.87,1371.0,georgia
22,12.62,14.99,37.99,34.4,1611.0,georgia
23,14.18,19.97,53.86,11.99,1230.0,georgia
24,10.52,16.54,40.8,32.14,1583.0,georgia
25,6.39,12.19,27.73,53.68,2094.0,georgia
26,13.58,16.23,41.21,28.98,1446.0,georgia
27,23.06,31.28,36.07,9.59,919.0,georgia
28,34.41,39.7,20.25,5.65,694.0,georgia
29,14.62,39.41,36.69,9.28,960.0,georgia
30,17.3,28.17,45.6,8.93,1059.0,georgia
31,18.74,28.75,42.24,10.28,1046.0,georgia
32,38.67,37.2,18.71,5.42,623.0,georgia
33,35.41,40.71,20.27,3.61,661.0,georgia
34,10.5,16.19,54.7,18.62,1335.0,georgia
35,10.83,15.6,59.63,13.93,1376.0,georgia
36,11.84,18.61,35.1,34.45,1584.0,georgia
37,13.32,21.6,47.47,17.6,1231.0,georgia
38,13.34,20.49,54.88,11.3,1189.0,georgia
39,13.46,25.75,50.37,10.42,1134.0,georgia
40,7.23,10.92,54.77,27.08,1476.0,georgia
41,15.12,26.22,53.44,5.22,1097.0,georgia
42,6.7,22.0,65.85,5.45,1174.0,georgia
43,7.16,15.41,53.81,23.63,1378.0,georgia
44,11.63,15.97,56.17,16.23,1383.0,georgia
45,8.9,17.33,35.68,38.1,1528.0,georgia
46,13.09,17.05,44.44,25.42,1444.0,georgia
47,4.2,11.72,38.8,45.29,1849.0,georgia
48,3.92,14.44,54.77,26.88,1492.0,georgia
49,4.58,12.22,44.74,38.47,1708.0,georgia
50,3.16,12.23,44.54,40.07,1817.0,georgia
51,3.21,13.78,56.0,27.01,1445.0,georgia
52,1.88,15.47,46.14,36.51,1578.0,georgia
53,16.17,21.88,43.41,18.53,1190.0,georgia
54,3.27,8.37,50.57,37.79,1716.0,georgia
55,11.07,23.28,49.34,16.32,1218.0,georgia
56,11.16,26.47,44.04,18.34,1243.0,georgia
57,12.37,16.97,47.51,23.16,1325.0,georgia
58,16.47,20.21,47.29,16.02,1239.0,georgia
59,13.95,29.11,39.4,17.54,1134.0,georgia
60,18.51,40.79,39.15,1.55,914.0,georgia
61,11.04,23.94,57.36,7.66,1148.0,georgia
62,9.79,21.86,55.97,12.38,1293.0,georgia
63,11.25,27.1,51.07,10.58,1162.0,georgia
64,12.91,26.31,49.49,11.29,1158.0,georgia
65,10.75,25.8,54.43,9.01,1126.0,georgia
66,12.37,25.52,53.74,8.37,1139.0,georgia
67,16.28,24.24,49.79,9.69,1116.0,georgia
68,21.59,28.5,44.57,5.33,999.0,georgia
69,26.58,36.55,31.01,5.87,821.0,georgia
70,15.92,23.24,49.43,11.41,1178.0,georgia
71,12.08,21.47,46.6,19.85,1340.0,georgia
72,10.28,18.18,38.5,33.04,1486.0,georgia
73,19.39,30.76,39.6,10.25,998.0,georgia
74,14.26,43.15,41.32,1.26,946.0,georgia
75,14.6,32.11,51.72,1.58,1033.0,georgia
76,12.44,31.8,50.62,5.15,1068.0,georgia
77,8.87,40.67,50.12,0.34,1004.0,georgia
78,8.81,25.84,59.16,6.19,1168.0,georgia
79,3.81,15.32,57.03,23.84,1465.0,georgia
80,4.69,9.27,49.34,36.7,1698.0,georgia
81,8.92,19.55,51.12,20.41,1323.0,georgia
82,5.04,12.73,58.89,23.34,1473.0,georgia
83,10.72,23.57,43.44,22.27,1282.0,georgia
84,9.28,24.22,49.95,16.54,1226.0,georgia
85,8.68,33.62,50.85,6.85,1084.0,georgia
86,10.32,31.93,46.88,10.88,1098.0,georgia
87,11.23,26.9,57.23,4.64,1124.0,georgia
88,9.51,27.01,55.29,8.2,1126.0,georgia
89,10.74,16.93,48.75,23.58,1372.0,georgia
90,11.67,23.99,54.61,9.72,1185.0,georgia
91,12.15,22.34,52.96,12.55,1158.0,georgia
92,12.73,32.59,52.5,2.19,1040.0,georgia
93,6.42,17.6,65.96,10.03,1330.0,georgia
94,7.82,22.5,64.3,5.37,1266.0,georgia
95,7.2,17.31,52.59,22.89,1322.0,georgia
96,6.82,16.61,69.76,6.81,1327.0,georgia
97,7.62,13.23,48.06,31.09,1602.0,georgia
98,8.6,15.37,51.23,24.8,1507.0,georgia
99,8.61,24.0,65.69,1.7,1173.0,georgia
100,7.21,15.55,74.66,2.58,1265.0,georgia
101,10.95,17.11,59.0,12.95,1327.0,georgia
102,7.04,14.5,60.02,18.44,1432.0,georgia
103,10.47,16.09,48.88,24.57,1524.0,georgia
104,9.98,13.75,55.65,20.63,1525.0,georgia
105,8.53,15.77,54.73,20.97,1393.0,georgia
106,10.8,17.31,57.48,14.41,1353.0,georgia
107,7.03,21.66,54.51,16.79,1364.0,georgia
108,14.17,22.44,48.87,14.52,1213.0,georgia
109,11.53,17.43,53.66,17.38,1304.0,georgia
110,15.68,29.16,51.78,3.38,1053.0,georgia
111,9.88,13.01,64.78,12.33,1329.0,georgia
112,17.88,32.05,39.07,11.0,1002.0,georgia
113,12.81,27.99,55.89,3.31,1105.0,georgia
114,13.85,19.23,51.48,15.44,1286.0,georgia
115,20.78,29.18,42.53,7.51,1000.0,georgia
116,17.74,30.0,45.69,6.56,1026.0,georgia
117,12.98,35.14,41.21,10.66,1026.0,georgia
118,17.16,45.91,32.35,4.58,862.0,georgia
119,10.26,39.9,37.41,12.43,998.0,georgia
120,28.12,40.07,22.99,8.82,753.0,georgia
121,25.18,26.08,41.5,7.24,981.0,georgia
122,11.27,17.97,47.72,23.05,1456.0,georgia
123,15.12,35.65,40.23,8.99,992.0,georgia
124,21.04,53.62,23.82,1.52,811.0,georgia
125,24.41,47.3,26.96,1.33,788.0,georgia
126,30.03,29.09,38.41,2.47,879.0,georgia
127,23.33,36.51,36.86,3.31,886.0,georgia
128,39.0,40.96,16.89,3.15,607.0,georgia
129,25.97,36.33,31.67,6.02,834.0,georgia
130,18.34,38.88,37.89,4.89,909.0,georgia
131,29.67,38.62,26.51,5.2,745.0,georgia
132,17.74,43.23,36.04,2.99,892.0,georgia
133,19.96,30.53,34.12,15.4,994.0,georgia
134,12.95,31.58,46.71,8.76,1063.0,georgia
135,24.64,51.44,22.42,1.49,749.0,georgia
136,19.52,40.87,36.55,3.06,910.0,georgia
137,25.98,33.97,31.83,8.22,875.0,georgia
138,27.58,42.16,25.8,4.46,729.0,georgia
139,40.53,43.81,13.56,2.1,584.0,georgia
140,30.08,40.81,24.75,4.36,741.0,georgia
141,14.92,32.58,38.85,13.65,1035.0,georgia
142,25.04,47.23,25.68,2.04,780.0,georgia
143,27.61,47.04,23.7,1.65,720.0,georgia
144,36.27,33.33,26.31,4.1,648.0,georgia
145,23.89,45.16,25.85,5.1,738.0,georgia
146,12.67,26.81,48.31,12.21,1155.0,georgia
147,18.14,39.81,36.45,5.61,913.0,georgia
148,33.27,40.16,24.17,2.4,671.0,georgia
149,51.53,34.74,11.18,2.55,485.0,georgia
150,43.12,38.06,17.18,1.64,556.0,georgia
151,38.08,42.53,15.77,3.62,601.0,georgia
152,23.38,37.98,33.49,5.14,857.0,georgia
153,16.93,53.52,27.09,2.45,780.0,georgia
154,28.33,48.6,21.56,1.51,701.0,georgia
155,35.83,41.56,18.79,3.82,629.0,georgia
156,41.06,37.79,19.35,1.8,585.0,georgia
157,40.04,41.14,17.49,1.33,583.0,georgia
158,40.31,40.95,16.9,1.85,599.0,georgia
159,28.46,32.66,35.5,3.38,833.0,georgia
160,21.91,39.8,31.72,6.57,847.0,georgia
161,11.03,19.09,57.61,12.27,1285.0,georgia
162,13.27,36.95,47.15,2.63,998.0,georgia
163,16.25,28.9,42.71,12.14,1080.0,georgia
164,11.78,19.69,58.77,9.76,1240.0,georgia
165,15.87,31.85,44.92,7.36,1027.0,georgia
166,8.26,20.04,40.65,31.05,1476.0,georgia
167,28.09,28.19,35.0,8.71,892.0,georgia
168,15.05,38.43,43.79,2.72,965.0,georgia
169,42.19,39.54,15.36,2.9,565.0,georgia
170,33.61,45.67,18.3,2.43,673.0,georgia
171,30.94,46.43,19.87,2.76,676.0,georgia
172,39.43,38.84,19.32,2.41,592.0,georgia
173,22.63,45.75,27.37,4.24,814.0,georgia
174,35.94,39.49,22.31,2.25,676.0,georgia
175,23.03,36.2,33.27,7.49,861.0,georgia
176,32.58,34.46,30.52,2.44,719.0,georgia
177,24.61,53.03,21.26,1.09,744.0,georgia
178,40.2,37.09,19.39,3.32,598.0,georgia
179,21.01,36.33,31.62,11.03,919.0,georgia
180,20.57,35.19,38.14,6.1,911.0,georgia
1,28.6,19.8,33.12,18.48,1037.0,hawaii
2,31.29,20.0,38.36,10.35,968.0,hawaii
3,35.4,22.05,35.08,7.47,875.0,hawaii
4,32.27,20.02,40.02,7.69,949.0,hawaii
5,26.48,21.91,27.58,24.03,1047.0,hawaii
9,19.14,10.34,36.23,34.29,1549.0,hawaii
10,8.5,9.78,35.48,46.25,1889.0,hawaii
11,7.7,13.88,33.47,44.95,1868.0,hawaii
13,23.85,13.7,31.35,31.09,1357.0,hawaii
14,18.34,18.53,33.88,29.25,1425.0,hawaii
15,12.84,20.51,30.52,36.13,1546.0,hawaii
16,17.1,19.45,36.17,27.28,1306.0,hawaii
17,8.29,18.59,12.44,60.68,2470.0,hawaii
18,7.82,18.12,16.47,57.6,2490.0,hawaii
19,7.59,18.24,24.39,49.78,2005.0,hawaii
20,12.9,23.13,21.92,42.05,1651.0,hawaii
22,5.72,14.26,48.52,31.5,1630.0,hawaii
24,8.4,17.24,51.32,23.03,1383.0,hawaii
30,8.7,8.73,22.54,60.03,2505.0,hawaii
33,11.26,20.01,16.75,51.97,2058.0,hawaii
34,15.24,17.17,25.71,41.88,1789.0,hawaii
35,11.57,17.31,29.97,41.16,1626.0,hawaii
36,7.21,12.52,22.15,58.12,2244.0,hawaii
37,10.75,10.43,25.96,52.86,2063.0,hawaii
39,6.57,10.56,26.15,56.72,2222.0,hawaii
40,6.96,8.66,13.03,71.35,2619.0,hawaii
41,5.41,9.36,24.49,60.74,2401.0,hawaii
43,10.61,10.17,30.76,48.46,1954.0,hawaii
44,12.15,17.47,42.22,28.15,1427.0,hawaii
45,6.89,9.2,21.86,62.05,2358.0,hawaii
47,10.77,14.79,28.72,45.73,1858.0,hawaii
49,11.43,18.08,22.9,47.59,1911.0,hawaii
50,4.66,12.02,17.45,65.87,2674.0,hawaii
51,11.55,16.63,22.4,49.42,1982.0,hawaii
1,11.59,40.57,41.94,5.9,966.0,illinois
2,7.56,40.98,39.7,11.76,1024.0,illinois
3,5.3,30.66,46.1,17.94,1225.0,illinois
4,4.91,16.59,43.57,34.92,1615.0,illinois
5,11.95,14.3,35.63,38.13,1714.0,illinois
6,12.25,27.14,31.64,28.97,1240.0,illinois
7,5.43,27.55,47.65,19.37,1326.0,illinois
8,7.12,30.82,43.22,18.84,1173.0,illinois
9,11.17,18.66,37.4,32.77,1539.0,illinois
10,9.16,19.3,40.58,30.96,1423.0,illinois
11,3.2,8.43,36.86,51.51,2056.0,illinois
12,3.34,10.57,50.55,35.54,1693.0,illinois
13,8.29,21.34,48.87,21.5,1326.0,illinois
14,6.51,28.28,53.23,11.98,1183.0,illinois
15,5.31,27.75,37.73,29.21,1339.0,illinois
16,5.95,21.2,47.97,24.89,1328.0,illinois
17,2.91,14.45,38.95,43.68,1784.0,illinois
18,3.51,10.57,35.73,50.19,2010.0,illinois
19,5.81,29.11,38.94,26.14,1291.0,illinois
20,6.03,28.93,39.28,25.75,1260.0,illinois
21,8.29,43.94,39.25,8.52,971.0,illinois
22,9.88,36.63,42.32,11.17,1069.0,illinois
23,4.94,35.75,43.69,15.62,1140.0,illinois
24,5.2,44.19,40.08,10.52,1010.0,illinois
25,11.84,36.05,40.56,11.55,1032.0,illinois
26,8.74,18.36,37.6,35.29,1533.0,illinois
27,11.45,33.55,43.36,11.64,1079.0,illinois
28,9.55,35.67,43.96,10.81,1072.0,illinois
29,13.27,28.73,47.44,10.56,1153.0,illinois
30,11.01,34.79,46.63,7.57,1060.0,illinois
31,11.99,34.15,43.34,10.52,1061.0,illinois
32,10.95,35.52,46.94,6.59,1049.0,illinois
33,13.38,39.43,41.63,5.56,968.0,illinois
34,10.74,38.19,40.16,10.91,1020.0,illinois
35,5.17,30.16,39.48,25.2,1301.0,illinois
36,5.83,31.94,42.95,19.27,1195.0,illinois
37,1.54,19.06,40.71,38.68,1671.0,illinois
38,7.14,23.38,46.01,23.48,1368.0,illinois
39,4.76,25.47,45.99,23.79,1312.0,illinois
40,3.16,21.05,49.22,26.57,1410.0,illinois
41,2.49,12.52,40.06,44.93,1841.0,illinois
42,2.71,14.11,44.4,38.79,1707.0,illinois
43,8.55,30.78,53.68,7.0,1152.0,illinois
44,3.4,20.92,55.87,19.8,1449.0,illinois
45,2.25,20.16,44.31,33.27,1607.0,illinois
46,4.75,22.14,55.02,18.09,1334.0,illinois
47,3.43,15.68,33.68,47.22,1901.0,illinois
48,1.81,20.41,43.61,34.18,1606.0,illinois
49,2.71,16.64,46.19,34.47,1646.0,illinois
50,2.79,12.93,38.18,46.11,1908.0,illinois
51,2.4,9.99,30.85,56.76,2222.0,illinois
52,3.21,16.6,44.09,36.11,1639.0,illinois
53,3.33,19.48,42.74,34.45,1531.0,illinois
54,3.07,17.28,43.32,36.33,1626.0,illinois
55,5.43,25.94,47.14,21.49,1278.0,illinois
56,3.34,20.31,51.85,24.49,1457.0,illinois
57,5.84,22.03,46.89,25.24,1328.0,illinois
58,1.34,7.9,33.5,57.26,2304.0,illinois
59,3.41,15.44,47.51,33.64,1598.0,illinois
60,12.41,40.75,42.21,4.63,969.0,illinois
61,4.88,22.59,43.39,29.14,1464.0,illinois
62,6.93,23.15,47.4,22.52,1392.0,illinois
63,7.14,29.5,45.88,17.48,1196.0,illinois
64,4.14,19.03,47.75,29.09,1534.0,illinois
65,4.48,19.17,41.0,35.35,1654.0,illinois
66,1.9,16.12,44.45,37.54,1732.0,illinois
67,25.13,53.74,20.29,0.84,725.0,illinois
68,12.32,42.38,40.52,4.78,946.0,illinois
69,9.94,31.83,45.54,12.69,1119.0,illinois
70,5.98,34.89,41.43,17.7,1161.0,illinois
71,20.16,46.14,28.56,5.14,798.0,illinois
72,21.03,46.31,28.64,4.02,805.0,illinois
73,14.11,39.85,32.39,13.65,942.0,illinois
74,24.58,46.36,24.88,4.18,744.0,illinois
75,8.11,30.41,41.85,19.63,1225.0,illinois
76,23.95,42.88,27.82,5.35,792.0,illinois
77,5.27,33.42,47.14,14.17,1164.0,illinois
78,6.54,22.72,42.06,28.69,1415.0,illinois
79,13.72,36.89,40.94,8.45,992.0,illinois
80,11.06,26.5,39.35,23.09,1248.0,illinois
81,3.87,20.01,43.01,33.1,1499.0,illinois
82,2.23,20.85,37.03,39.89,1716.0,illinois
83,9.02,31.44,52.28,7.26,1110.0,illinois
84,3.73,13.48,53.79,29.0,1624.0,illinois
85,4.41,23.51,54.55,17.53,1401.0,illinois
86,11.51,32.2,49.48,6.81,1075.0,illinois
87,18.97,45.26,31.13,4.64,820.0,illinois
88,14.24,40.82,35.5,9.44,927.0,illinois
89,22.33,44.17,27.43,6.07,777.0,illinois
90,14.79,41.29,36.75,7.17,898.0,illinois
91,23.15,45.74,26.94,4.17,771.0,illinois
92,21.8,48.87,27.34,1.98,799.0,illinois
93,31.94,47.33,18.43,2.3,658.0,illinois
94,29.36,45.35,21.22,4.07,694.0,illinois
95,27.05,46.75,21.14,5.06,719.0,illinois
96,29.35,48.63,19.0,3.03,684.0,illinois
97,2.23,17.01,37.27,43.49,1849.0,illinois
98,3.98,19.95,50.16,25.91,1560.0,illinois
99,10.46,41.5,37.39,10.65,977.0,illinois
100,26.89,44.73,23.69,4.69,720.0,illinois
101,17.82,38.82,33.03,10.33,897.0,illinois
102,23.16,42.09,28.23,6.51,796.0,illinois
103,10.81,50.89,33.21,5.1,880.0,illinois
104,24.44,44.76,25.84,4.96,768.0,illinois
105,7.6,39.36,40.39,12.65,1051.0,illinois
106,24.69,45.9,24.56,4.85,749.0,illinois
107,31.36,43.03,21.25,4.36,670.0,illinois
108,13.32,34.24,37.61,14.83,1047.0,illinois
109,38.58,40.61,17.6,3.21,615.0,illinois
110,29.46,45.87,21.58,3.1,689.0,illinois
111,20.3,45.37,30.35,3.99,823.0,illinois
112,12.01,37.17,37.9,12.92,1014.0,illinois
113,17.92,44.54,31.98,5.56,860.0,illinois
114,22.69,35.28,34.44,7.59,890.0,illinois
115,28.59,45.0,22.01,4.4,705.0,illinois
116,22.07,39.79,29.58,8.56,838.0,illinois
117,31.39,41.58,23.43,3.6,690.0,illinois
118,38.32,40.2,18.52,2.96,624.0,illinois
1,22.52,45.69,30.59,1.21,,indiana
2,30.89,47.17,21.75,0.2,717.0,indiana
3,24.24,46.77,27.5,1.49,783.0,indiana
4,14.11,32.37,40.18,13.34,1064.0,indiana
5,22.41,41.98,28.9,6.71,838.0,indiana
6,27.46,47.18,23.81,1.54,748.0,indiana
7,28.74,42.33,25.41,3.52,755.0,indiana
8,24.1,38.64,31.67,5.58,850.0,indiana
9,24.14,41.12,28.86,5.88,803.0,indiana
10,15.4,33.08,46.53,4.98,1019.0,indiana
11,16.26,26.88,43.65,13.21,1112.0,indiana
12,15.65,31.56,45.44,7.35,1037.0,indiana
13,24.53,42.24,29.8,3.43,804.0,indiana
14,20.81,35.78,41.92,1.48,913.0,indiana
15,16.0,28.17,44.35,11.48,1108.0,indiana
16,30.4,37.55,29.35,2.69,761.0,indiana
17,25.11,45.13,26.74,3.02,767.0,indiana
18,28.7,43.75,24.55,3.0,750.0,indiana
19,11.46,26.52,48.48,13.53,1218.0,indiana
20,22.77,44.8,28.69,3.74,805.0,indiana
21,24.7,41.58,29.71,4.01,804.0,indiana
22,25.42,40.06,30.18,4.34,825.0,indiana
23,33.76,46.8,18.11,1.32,647.0,indiana
24,3.76,15.98,43.92,36.34,1701.0,indiana
25,24.37,40.52,29.59,5.52,795.0,indiana
26,14.69,44.35,35.34,5.62,909.0,indiana
27,16.01,53.34,28.49,2.16,848.0,indiana
28,11.35,27.28,49.8,11.57,1156.0,indiana
29,9.04,26.38,48.93,15.65,1210.0,indiana
30,30.34,49.59,18.59,1.48,696.0,indiana
31,31.96,47.52,18.09,2.44,667.0,indiana
32,22.14,37.72,29.79,10.35,880.0,indiana
33,34.23,43.46,19.78,2.53,656.0,indiana
34,29.13,52.37,17.1,1.4,676.0,indiana
35,24.94,45.68,25.24,4.14,780.0,indiana
36,26.6,50.22,22.25,0.94,744.0,indiana
37,4.89,18.19,58.2,18.72,1369.0,indiana
38,27.07,42.91,27.15,2.87,783.0,indiana
39,7.24,22.82,46.18,23.76,1351.0,indiana
40,10.49,21.02,59.35,9.14,1254.0,indiana
41,20.76,42.6,31.72,4.92,831.0,indiana
42,30.18,44.19,23.34,2.28,706.0,indiana
43,26.48,52.68,18.36,2.47,719.0,indiana
44,24.62,37.8,32.63,4.95,835.0,indiana
45,30.06,46.33,20.94,2.68,697.0,indiana
46,23.69,39.6,32.28,4.43,818.0,indiana
47,13.74,32.63,42.01,11.62,1056.0,indiana
48,22.99,46.1,27.51,3.4,836.0,indiana
49,18.8,38.7,36.3,6.19,910.0,indiana
50,25.07,48.26,24.32,2.35,747.0,indiana
51,26.53,38.87,28.65,5.95,795.0,indiana
52,24.44,36.85,32.57,6.15,843.0,indiana
53,14.44,37.33,43.33,4.9,978.0,indiana
54,28.38,48.79,20.73,2.1,708.0,indiana
55,26.81,43.67,26.51,3.01,765.0,indiana
56,27.28,48.31,22.13,2.27,727.0,indiana
57,21.1,40.67,32.31,5.91,849.0,indiana
58,14.51,33.24,47.3,4.95,1025.0,indiana
59,19.62,37.9,34.98,7.49,917.0,indiana
60,18.93,37.41,33.75,9.91,898.0,indiana
61,10.85,45.82,36.6,6.73,928.0,indiana
62,28.7,37.04,29.91,4.35,765.0,indiana
63,34.01,36.22,26.19,3.59,692.0,indiana
64,24.2,42.0,29.17,4.63,784.0,indiana
65,26.64,35.95,31.4,6.01,808.0,indiana
66,28.24,39.61,28.41,3.75,776.0,indiana
67,27.39,39.29,30.02,3.31,778.0,indiana
68,24.7,32.95,35.71,6.64,853.0,indiana
69,24.63,42.19,29.85,3.34,817.0,indiana
70,24.36,33.34,34.51,7.79,898.0,indiana
71,19.05,43.6,34.81,2.54,872.0,indiana
72,22.25,37.91,33.48,6.37,879.0,indiana
73,33.12,38.46,26.3,2.11,692.0,indiana
74,35.81,37.56,23.13,3.5,651.0,indiana
75,20.26,38.41,34.33,7.0,877.0,indiana
76,22.07,42.34,31.46,4.13,825.0,indiana
77,19.72,55.44,23.51,1.33,779.0,indiana
78,17.41,42.0,32.42,8.17,892.0,indiana
79,28.98,45.34,21.74,3.94,723.0,indiana
80,26.94,55.77,16.76,0.53,697.0,indiana
81,22.91,52.51,23.15,1.43,750.0,indiana
82,26.44,42.3,26.62,4.64,773.0,indiana
83,18.51,34.18,38.93,8.37,967.0,indiana
84,19.34,40.24,36.52,3.9,901.0,indiana
85,23.42,44.45,28.56,3.57,812.0,indiana
86,6.62,31.08,47.36,14.93,1154.0,indiana
87,9.04,37.0,45.21,8.75,1046.0,indiana
88,9.27,20.54,47.81,22.39,1313.0,indiana
89,17.26,40.78,39.63,2.33,928.0,indiana
90,11.77,27.61,54.74,5.88,1112.0,indiana
91,12.41,41.51,43.61,2.47,972.0,indiana
92,13.54,46.43,38.29,1.74,904.0,indiana
93,13.47,39.02,42.7,4.81,979.0,indiana
94,10.16,45.04,42.64,2.16,952.0,indiana
95,14.48,46.01,36.59,2.92,911.0,indiana
96,17.39,40.42,33.84,8.35,920.0,indiana
97,16.41,51.32,29.2,3.07,859.0,indiana
98,18.21,55.87,25.14,0.78,803.0,indiana
99,14.86,53.84,29.18,2.12,854.0,indiana
100,20.88,48.18,27.52,3.43,826.0,indiana
1,24.24,42.15,26.11,7.5,798.0,iowa
2,26.59,44.39,24.85,4.17,749.0,iowa
3,35.34,39.75,21.42,3.49,646.0,iowa
4,19.19,39.17,34.72,6.92,859.0,iowa
5,26.22,40.27,25.98,7.53,778.0,iowa
6,18.81,40.61,32.29,8.3,874.0,iowa
7,31.1,44.85,19.48,4.57,663.0,iowa
8,34.12,44.04,18.7,3.15,633.0,iowa
9,28.14,47.52,21.04,3.3,683.0,iowa
10,37.25,42.18,18.48,2.09,604.0,iowa
11,31.86,45.33,18.56,4.24,665.0,iowa
12,33.74,42.01,20.81,3.44,643.0,iowa
13,20.35,47.55,30.63,1.47,818.0,iowa
