district,percent of tot. population in poverty,state
29,9.4,florida
30,11.6,florida
31,10.7,florida
32,10.5,florida
33,10.7,florida
34,14.7,florida
35,14.5,florida
36,16.2,florida
37,10.0,florida
38,11.1,florida
39,13.0,florida
40,15.2,florida
41,16.4,florida
42,11.6,florida
43,16.4,florida
44,7.7,florida
45,17.0,florida
46,22.4,florida
47,12.2,florida
48,16.1,florida
49,17.4,florida
50,9.8,florida
51,11.2,florida
52,9.4,florida
53,12.2,florida
54,10.4,florida
55,16.6,florida
56,18.5,florida
57,9.2,florida
58,17.0,florida
59,11.2,florida
60,9.5,florida
61,27.4,florida
62,15.6,florida
63,14.6,florida
64,6.5,florida
65,9.3,florida
66,12.3,florida
67,13.4,florida
68,11.0,florida
69,9.6,florida
70,20.0,florida
71,12.0,florida
72,8.8,florida
73,6.9,florida
74,6.8,florida
75,10.6,florida
76,8.6,florida
77,9.6,florida
78,12.8,florida
79,15.9,florida
80,16.7,florida
81,13.6,florida
82,9.1,florida
83,10.0,florida
84,15.7,florida
85,5.8,florida
86,9.1,florida
87,19.0,florida
88,19.3,florida
89,9.7,florida
90,10.8,florida
91,7.2,florida
92,17.4,florida
93,10.3,florida
94,21.1,florida
95,16.9,florida
96,8.7,florida
97,10.1,florida
98,9.7,florida
99,10.4,florida
100,13.0,florida
101,14.3,florida
102,13.6,florida
103,12.0,florida
104,8.0,florida
105,11.8,florida
106,7.8,florida
107,15.0,florida
108,22.8,florida
109,28.1,florida
110,18.8,florida
111,21.0,florida
112,13.9,florida
113,18.0,florida
114,12.0,florida
115,10.1,florida
116,11.3,florida
117,20.4,florida
118,12.2,florida
119,12.0,florida
120,14.3,florida
1,13.5,georgia
2,13.2,georgia
3,9.3,georgia
4,18.0,georgia
5,16.1,georgia
6,15.2,georgia
7,13.0,georgia
8,15.6,georgia
9,11.6,georgia
10,13.6,georgia
11,13.7,georgia
12,17.8,georgia
13,22.3,georgia
14,10.7,georgia
15,14.9,georgia
16,17.1,georgia
17,7.2,georgia
18,18.3,georgia
19,7.3,georgia
20,7.4,georgia
21,7.1,georgia
22,5.0,georgia
23,9.0,georgia
24,5.8,georgia
25,3.6,georgia
26,5.6,georgia
27,11.4,georgia
28,13.0,georgia
29,19.4,georgia
30,13.8,georgia
