district,percent owner-occupied housing units,state
100,34.7,georgia
101,69.1,georgia
102,73.0,georgia
103,85.1,georgia
104,82.7,georgia
105,74.3,georgia
106,78.3,georgia
107,77.4,georgia
108,70.4,georgia
109,80.3,georgia
110,69.5,georgia
111,71.9,georgia
112,73.7,georgia
113,60.9,georgia
114,81.4,georgia
115,68.1,georgia
116,69.8,georgia
117,54.4,georgia
118,40.4,georgia
119,54.1,georgia
120,72.1,georgia
121,71.5,georgia
122,81.5,georgia
123,69.1,georgia
124,36.6,georgia
125,57.5,georgia
126,69.5,georgia
127,55.7,georgia
128,68.7,georgia
129,74.8,georgia
130,62.7,georgia
131,71.3,georgia
132,51.2,georgia
133,74.3,georgia
134,57.1,georgia
135,28.8,georgia
136,46.4,georgia
137,71.9,georgia
138,55.3,georgia
139,62.2,georgia
140,67.7,georgia
141,63.2,georgia
142,54.5,georgia
143,42.7,georgia
144,79.2,georgia
145,57.2,georgia
146,75.7,georgia
147,54.2,georgia
148,63.3,georgia
149,64.5,georgia
150,63.4,georgia
151,64.8,georgia
152,72.0,georgia
153,40.6,georgia
154,57.1,georgia
155,68.1,georgia
156,66.1,georgia
157,63.8,georgia
158,62.5,georgia
159,66.3,georgia
160,54.6,georgia
161,68.6,georgia
162,36.0,georgia
163,42.4,georgia
164,51.6,georgia
165,52.5,georgia
166,80.7,georgia
167,71.4,georgia
168,51.2,georgia
169,66.3,georgia
170,62.6,georgia
171,61.7,georgia
172,62.3,georgia
173,59.2,georgia
174,66.0,georgia
175,67.0,georgia
176,67.2,georgia
177,35.3,georgia
178,77.4,georgia
179,56.2,georgia
180,58.5,georgia
1,68.5,hawaii
2,58.6,hawaii
3,73.4,hawaii
4,71.3,hawaii
5,68.8,hawaii
6,59.5,hawaii
7,67.0,hawaii
8,64.5,hawaii
9,56.7,hawaii
10,49.2,hawaii
11,52.8,hawaii
12,64.3,hawaii
13,61.2,hawaii
14,64.1,hawaii
15,65.2,hawaii
16,60.6,hawaii
17,86.7,hawaii
18,80.1,hawaii
19,67.5,hawaii
20,61.1,hawaii
21,30.8,hawaii
22,38.6,hawaii
23,54.1,hawaii
24,39.2,hawaii
25,49.0,hawaii
26,33.5,hawaii
27,50.4,hawaii
28,55.7,hawaii
29,19.1,hawaii
30,18.0,hawaii
31,32.2,hawaii
32,58.5,hawaii
33,74.5,hawaii
34,79.2,hawaii
35,46.6,hawaii
36,76.7,hawaii
37,73.9,hawaii
38,57.5,hawaii
39,71.5,hawaii
40,58.9,hawaii
41,72.3,hawaii
42,72.2,hawaii
43,56.9,hawaii
44,52.6,hawaii
45,32.3,hawaii
46,40.8,hawaii
47,55.8,hawaii
48,75.1,hawaii
49,72.0,hawaii
50,50.6,hawaii
51,77.4,hawaii
1,55.7,illinois
2,39.0,illinois
3,55.2,illinois
4,35.4,illinois
5,29.6,illinois
6,38.3,illinois
7,69.3,illinois
8,49.2,illinois
9,33.8,illinois
10,36.5,illinois
11,46.5,illinois
12,36.8,illinois
13,33.3,illinois
14,30.7,illinois
15,69.5,illinois
16,62.6,illinois
17,77.3,illinois
18,68.3,illinois
19,65.3,illinois
20,73.9,illinois
21,52.3,illinois
22,70.8,illinois
23,59.4,illinois
24,54.5,illinois
25,36.8,illinois
26,35.2,illinois
27,71.6,illinois
28,67.0,illinois
29,66.8,illinois
30,62.3,illinois
31,59.8,illinois
32,57.4,illinois
33,61.3,illinois
34,61.2,illinois
35,80.7,illinois
36,77.4,illinois
37,92.9,illinois
38,74.2,illinois
39,41.7,illinois
40,39.0,illinois
41,76.1,illinois
42,76.2,illinois
43,60.4,illinois
44,72.4,illinois
45,82.1,illinois
46,63.4,illinois
47,76.8,illinois
48,73.9,illinois
49,75.5,illinois
50,86.0,illinois
51,88.4,illinois
52,84.6,illinois
53,79.0,illinois
54,76.5,illinois
55,65.9,illinois
56,70.1,illinois
57,68.3,illinois
58,79.5,illinois
59,68.5,illinois
60,48.9,illinois
61,73.8,illinois
62,76.2,illinois
63,70.4,illinois
64,78.7,illinois
65,84.1,illinois
66,82.9,illinois
67,46.4,illinois
68,71.9,illinois
69,80.1,illinois
70,62.3,illinois
71,75.2,illinois
72,67.4,illinois
73,76.5,illinois
74,74.2,illinois
75,77.5,illinois
76,72.1,illinois
77,61.8,illinois
78,60.0,illinois
79,69.2,illinois
80,73.4,illinois
81,75.4,illinois
82,83.1,illinois
83,57.9,illinois
84,69.8,illinois
85,75.7,illinois
86,60.6,illinois
87,75.3,illinois
88,69.6,illinois
89,75.1,illinois
90,73.7,illinois
91,74.4,illinois
92,57.7,illinois
93,69.7,illinois
94,72.5,illinois
95,76.5,illinois
96,56.7,illinois
97,87.7,illinois
98,83.3,illinois
99,72.5,illinois
100,76.3,illinois
101,82.1,illinois
102,76.6,illinois
103,38.3,illinois
104,68.7,illinois
105,66.6,illinois
106,74.3,illinois
107,77.0,illinois
108,80.9,illinois
109,77.7,illinois
110,69.2,illinois
111,69.0,illinois
112,70.2,illinois
113,62.7,illinois
114,60.4,illinois
115,68.7,illinois
116,76.5,illinois
117,71.9,illinois
118,69.9,illinois
1,58.3,indiana
2,53.0,indiana
3,55.9,indiana
4,72.9,indiana
5,62.8,indiana
6,60.6,indiana
7,71.3,indiana
8,74.2,indiana
9,69.6,indiana
10,74.5,indiana
11,86.1,indiana
12,79.2,indiana
13,72.9,indiana
14,57.5,indiana
15,85.3,indiana
16,78.5,indiana
17,76.0,indiana
18,74.7,indiana
19,82.0,indiana
20,75.1,indiana
21,72.2,indiana
22,77.2,indiana
23,72.5,indiana
24,81.1,indiana
25,81.3,indiana
26,50.9,indiana
27,41.6,indiana
28,80.9,indiana
29,75.0,indiana
30,64.9,indiana
31,71.0,indiana
32,79.9,indiana
33,77.3,indiana
34,50.4,indiana
35,75.8,indiana
36,62.8,indiana
37,76.3,indiana
38,75.1,indiana
39,75.1,indiana
40,83.2,indiana
41,70.9,indiana
42,76.4,indiana
43,54.7,indiana
44,77.3,indiana
45,68.9,indiana
46,72.6,indiana
47,74.5,indiana
48,65.9,indiana
49,70.5,indiana
50,72.9,indiana
51,78.9,indiana
52,81.3,indiana
53,73.6,indiana
54,72.4,indiana
55,71.3,indiana
56,66.7,indiana
57,76.0,indiana
58,64.2,indiana
59,67.8,indiana
60,69.0,indiana
61,30.9,indiana
62,73.8,indiana
63,76.2,indiana
64,82.9,indiana
65,80.1,indiana
66,71.9,indiana
67,76.1,indiana
68,79.6,indiana
69,72.8,indiana
70,82.7,indiana
71,65.7,indiana
72,69.5,indiana
73,77.6,indiana
74,79.2,indiana
75,81.5,indiana
76,71.0,indiana
77,51.4,indiana
78,67.5,indiana
79,78.5,indiana
80,48.9,indiana
81,58.3,indiana
82,77.3,indiana
83,81.8,indiana
84,74.8,indiana
85,74.1,indiana
86,61.4,indiana
87,50.1,indiana
88,90.2,indiana
89,65.4,indiana
90,74.3,indiana
91,63.4,indiana
92,55.0,indiana
93,63.6,indiana
94,44.6,indiana
95,48.1,indiana
96,43.8,indiana
97,44.0,indiana
98,44.0,indiana
99,40.7,indiana
100,48.6,indiana
1,78.1,iowa
2,72.6,iowa
3,74.2,iowa
4,78.6,iowa
5,79.3,iowa
6,72.9,iowa
7,77.1,iowa
8,77.0,iowa
9,65.1,iowa
10,75.2,iowa
11,71.8,iowa
12,76.7,iowa
13,59.7,iowa
14,64.3,iowa
15,58.8,iowa
16,62.9,iowa
17,74.2,iowa
18,76.1,iowa
19,84.0,iowa
20,74.4,iowa
21,71.1,iowa
22,82.0,iowa
23,74.0,iowa
24,74.4,iowa
25,77.4,iowa
26,76.2,iowa
27,70.5,iowa
28,78.2,iowa
29,71.8,iowa
30,79.2,iowa
31,73.5,iowa
32,57.6,iowa
33,63.7,iowa
34,53.3,iowa
35,52.5,iowa
36,70.2,iowa
37,71.6,iowa
38,79.2,iowa
39,79.5,iowa
40,75.7,iowa
41,53.9,iowa
42,61.7,iowa
43,66.0,iowa
44,69.8,iowa
45,38.9,iowa
46,44.4,iowa
47,74.3,iowa
48,76.2,iowa
49,77.7,iowa
50,78.0,iowa
51,81.5,iowa
52,75.4,iowa
53,66.0,iowa
54,76.9,iowa
55,75.9,iowa
56,77.0,iowa
57,88.5,iowa
58,76.3,iowa
59,63.3,iowa
60,73.1,iowa
61,61.6,iowa
62,62.8,iowa
63,82.4,iowa
64,78.6,iowa
65,69.5,iowa
66,72.7,iowa
67,75.7,iowa
68,76.8,iowa
69,63.8,iowa
70,72.3,iowa
71,68.9,iowa
72,78.2,iowa
73,80.6,iowa
74,57.3,iowa
75,79.1,iowa
76,75.1,iowa
77,76.3,iowa
78,74.0,iowa
79,66.2,iowa
80,77.1,iowa
81,70.6,iowa
82,73.1,iowa
83,73.2,iowa
84,74.6,iowa
85,49.8,iowa
86,43.5,iowa
87,69.7,iowa
88,79.8,iowa
89,68.8,iowa
90,53.6,iowa
91,73.5,iowa
92,76.0,iowa
93,66.9,iowa
94,72.1,iowa
95,85.3,iowa
96,77.5,iowa
97,78.6,iowa
98,71.4,iowa
99,67.2,iowa
100,61.9,iowa
1,73.7,kansas
2,77.2,kansas
3,52.0,kansas
4,72.6,kansas
5,75.8,kansas
6,77.7,kansas
7,72.1,kansas
8,81.6,kansas
9,69.0,kansas
10,54.5,kansas
11,68.1,kansas
12,77.2,kansas
13,76.5,kansas
14,73.1,kansas
15,61.3,kansas
16,67.6,kansas
17,69.8,kansas
18,74.5,kansas
19,76.0,kansas
20,71.9,kansas
21,76.9,kansas
22,47.8,kansas
23,46.0,kansas
24,47.9,kansas
25,77.9,kansas
26,86.4,kansas
27,91.9,kansas
28,64.4,kansas
29,60.7,kansas
30,48.9,kansas
31,38.8,kansas
32,51.2,kansas
33,71.2,kansas
34,44.2,kansas
35,58.9,kansas
36,77.5,kansas
37,59.6,kansas
38,80.3,kansas
39,88.9,kansas
40,63.3,kansas
41,49.8,kansas
42,71.8,kansas
43,71.4,kansas
44,46.5,kansas
45,65.9,kansas
46,35.6,kansas
47,82.7,kansas
48,63.0,kansas
49,56.9,kansas
50,85.9,kansas
51,81.1,kansas
52,80.0,kansas
53,54.1,kansas
54,78.6,kansas
55,54.4,kansas
56,54.8,kansas
57,61.2,kansas
58,50.2,kansas
59,72.2,kansas
60,55.0,kansas
61,74.7,kansas
62,72.9,kansas
63,71.4,kansas
64,58.2,kansas
65,35.7,kansas
66,31.0,kansas
67,53.6,kansas
68,61.7,kansas
69,64.0,kansas
70,73.6,kansas
71,66.3,kansas
72,65.7,kansas
73,74.4,kansas
74,77.7,kansas
75,67.1,kansas
76,71.2,kansas
77,70.0,kansas
78,91.1,kansas
79,69.7,kansas
80,65.3,kansas
81,56.0,kansas
82,76.2,kansas
