district,non-white,black/afroamerican,state
24,0.14960219295313232,0.028133984087718125,indiana
25,0.04744809886802829,0.003926001741494936,indiana
26,0.20772292198622028,0.03755902029870334,indiana
27,0.16804363165941433,0.07422380336351876,indiana
28,0.06102918336858609,0.030307512535684176,indiana
29,0.10476859954666744,0.037859007832898174,indiana
30,0.13418783500349568,0.08743882544861338,indiana
31,0.10872578358796661,0.0684359741691605,indiana
32,0.03174676312030595,0.004899476262882244,indiana
33,0.031070573694832522,0.008182230635648243,indiana
34,0.17187597968524673,0.10107216753401467,indiana
35,0.03936221664040439,0.01051531272914489,indiana
36,0.18268080942988926,0.12745570033079157,indiana
37,0.14435132326544933,0.05407776293237243,indiana
38,0.07147942915518682,0.020988762653623504,indiana
39,0.1122770652502483,0.02693210116451469,indiana
40,0.1540138283397662,0.09009246660927998,indiana
41,0.035694017145076015,0.008094626482272469,indiana
42,0.03366317732030927,0.010579401189983772,indiana
43,0.13233304636576068,0.06343008240068872,indiana
44,0.04579211782694168,0.021733703622804006,indiana
45,0.06045386904761905,0.03247457837301587,indiana
46,0.08131146553411948,0.035392099278603595,indiana
47,0.041059372374025675,0.009359334704876706,indiana
48,0.13086046687315858,0.05075168089446249,indiana
49,0.0721858411094811,0.012189773294414785,indiana
50,0.08521456795417649,0.045302784329341136,indiana
51,0.024815326042440883,0.0025634413821347853,indiana
52,0.050257186081694404,0.008018154311649017,indiana
53,0.06061715401394164,0.03163562592473955,indiana
54,0.044708157250456126,0.01907152993278962,indiana
55,0.035734745382197654,0.012525740474089213,indiana
56,0.10789871504157218,0.05275258251448728,indiana
57,0.04663482148325066,0.009859758711494887,indiana
58,0.11177900552486188,0.03369429097605893,indiana
59,0.15896914005208176,0.021581011104792124,indiana
60,0.07602073292716195,0.013018702070261587,indiana
61,0.15543675761716697,0.036775637078972266,indiana
62,0.07232880867521044,0.01879123379085463,indiana
63,0.03566038023509323,0.01234925523318748,indiana
64,0.03867119362073262,0.014717792175429853,indiana
65,0.0342870363229737,0.005552556489550397,indiana
66,0.05187385394092776,0.013457196114386167,indiana
67,0.023640998844077082,0.005288743210932181,indiana
68,0.02905701754385965,0.007471804511278195,indiana
69,0.0645279002584765,0.009670062338452181,indiana
70,0.03350613417656091,0.0037397953754237673,indiana
71,0.1679337598795634,0.11104252916823486,indiana
72,0.10861790580814559,0.05930374684996001,indiana
73,0.018992181525928933,0.002528129340345511,indiana
74,0.05194845186223036,0.012733067483717993,indiana
75,0.04523159927653965,0.011526317402899973,indiana
76,0.04726850058117009,0.02037969779155366,indiana
77,0.25338955662598683,0.18382862155465612,indiana
78,0.10434574619167925,0.05217287309583962,indiana
79,0.040297459076472024,0.011803689225506963,indiana
80,0.5571304386262174,0.3790573293453758,indiana
81,0.15134833494208494,0.06367639961389962,indiana
82,0.03330974213797772,0.002938642377992492,indiana
83,0.07579281183932347,0.02077922077922078,indiana
84,0.13236489382139532,0.06583516824542997,indiana
85,0.0953929539295393,0.047530864197530866,indiana
86,0.2816478609787003,0.1980932842575273,indiana
87,0.2223781024730236,0.1339193767443249,indiana
88,0.12719074101908914,0.06891627837065985,indiana
89,0.2457989818443934,0.1916625369794717,indiana
90,0.11339343395783168,0.0359429141951019,indiana
91,0.1577639751552795,0.08400621118012422,indiana
92,0.38352529699089427,0.2300699511547971,indiana
93,0.18409436951138863,0.03580381722828009,indiana
94,0.7311128678609251,0.5407275927389884,indiana
95,0.5917401528512639,0.5257495590828924,indiana
96,0.5486712627423251,0.4886571209710683,indiana
97,0.2413180712462877,0.10457116420672467,indiana
98,0.6071260028315243,0.5508101305647318,indiana
99,0.6739653337609517,0.48608539732058254,indiana
100,0.22289908927537996,0.1744083335871585,indiana
1,0.0318727707058477,0.00242154520763114,iowa
2,0.03692840954539395,0.00859885348620184,iowa
3,0.04008260266088899,0.005111885981245134,iowa
4,0.0751775287991163,0.004607858608174215,iowa
5,0.040511656966229326,0.004439183190292986,iowa
6,0.0692190501424124,0.015963436444326688,iowa
7,0.035841570842579516,0.007934906865711787,iowa
8,0.047849299889191094,0.006782848124643229,iowa
9,0.09947195172130023,0.056713756686325605,iowa
10,0.032484372921931105,0.009974730682271579,iowa
11,0.14304931264149087,0.02168706322385905,iowa
12,0.03685624426680645,0.011630192635303368,iowa
13,0.16192531975901286,0.031218789265118077,iowa
14,0.22142320138593796,0.055077959010231096,iowa
15,0.08453952866454956,0.024703326090590005,iowa
16,0.06772868781877193,0.020070212625024838,iowa
17,0.02886917810529156,0.0018886378199723449,iowa
18,0.04870411086681325,0.010027316943167433,iowa
19,0.04981186685962374,0.004717800289435601,iowa
20,0.050477582514701386,0.007410177096434277,iowa
21,0.026178877953408224,0.005898531994565397,iowa
22,0.02150261561667576,0.00022465419301004525,iowa
23,0.03569728700618753,0.0051676072618481,iowa
24,0.04480280692284336,0.013562295469113727,iowa
25,0.020832028068416764,0.002694066787795251,iowa
26,0.040537956530052904,0.006150806297405826,iowa
27,0.041190316072629456,0.008137188971082716,iowa
28,0.03529411764705882,0.013082880210907892,iowa
29,0.03350662418245849,0.008586282072782156,iowa
30,0.03575351176368576,0.008815538470431816,iowa
31,0.11046291624621594,0.04162462159434914,iowa
32,0.2964802284437271,0.14550872183251598,iowa
33,0.2650264616935484,0.1299773185483871,iowa
34,0.1628219334475001,0.06974245324199993,iowa
35,0.39821666868858424,0.21072425087953414,iowa
36,0.15054557124518614,0.05089858793324775,iowa
37,0.048170593565926595,0.010591300407793386,iowa
38,0.06906775965814947,0.021278451207813725,iowa
39,0.06977537674154109,0.01216946261017913,iowa
40,0.10294888597640892,0.049836173001310616,iowa
41,0.16899505664896067,0.09005496023826338,iowa
42,0.12548015364916773,0.041170097508125676,iowa
43,0.13468403582388677,0.034383415795077345,iowa
44,0.10383119058047562,0.014891917656455311,iowa
45,0.16810305996816913,0.02717636107023813,iowa
46,0.15869511896001962,0.033909737552121656,iowa
47,0.02758574847115129,0.010236639191704333,iowa
48,0.05315852982421811,0.004598375892769788,iowa
49,0.03477512088494403,0.0065244750612704515,iowa
50,0.02115378198925628,0.006372827066163958,iowa
51,0.02065329818824864,0.003603483367255013,iowa
52,0.036226288400201444,0.012288064461977506,iowa
53,0.05939899833055092,0.01986644407345576,iowa
54,0.04692475280710575,0.008278867102396514,iowa
55,0.04100347153992271,0.014246413833759089,iowa
56,0.02881275117498808,0.0075607928615216945,iowa
57,0.02729314748146097,0.005046309117203606,iowa
58,0.024180314143139422,0.0036839813791486654,iowa
59,0.07441436158081648,0.02740038445248102,iowa
60,0.0834859821788941,0.03592163680958738,iowa
61,0.16586594214903416,0.08757165103873298,iowa
62,0.31789258514391217,0.2324684316375985,iowa
63,0.0340023918032257,0.011344904489479299,iowa
64,0.026259805876878074,0.0024597792846695918,iowa
65,0.1342038447587958,0.07003660104857058,iowa
66,0.11117875108134953,0.03386626509884336,iowa
67,0.11978028837151239,0.05018413332501092,iowa
68,0.06776099403094164,0.026282129370203435,iowa
69,0.14837347118900518,0.08561341571050309,iowa
70,0.11138221687052412,0.05231636985867292,iowa
71,0.20718706457989047,0.01490554421438061,iowa
72,0.07729722623899041,0.0045681609044301305,iowa
73,0.03915171288743882,0.00559310184106269,iowa
74,0.2710396414402956,0.09960328275945611,iowa
75,0.02294316799789633,0.005587877592610853,iowa
76,0.0403041825095057,0.013489833030252934,iowa
77,0.06779757016227238,0.02916938064625754,iowa
78,0.031020886962755383,0.005995633614650201,iowa
79,0.055287029067072765,0.012514070052307489,iowa
80,0.025876654613011314,0.005009454931493216,iowa
81,0.1028932556532043,0.02666140021724104,iowa
82,0.09813069480539813,0.033503459936750475,iowa
83,0.07279272072792721,0.030230310302303103,iowa
84,0.0607478266941312,0.015047306497224452,iowa
85,0.14387808081116574,0.030357633692697675,iowa
86,0.22152628462808888,0.10283256987940544,iowa
87,0.10806692065595494,0.07039920490309756,iowa
88,0.06868409884764796,0.008552867822283159,iowa
89,0.16157994923857869,0.08508883248730964,iowa
90,0.22358157210480697,0.14794319621308089,iowa
91,0.09117570385818562,0.023852971845672574,iowa
92,0.1125705359135397,0.07173143749800746,iowa
93,0.12742417098852743,0.07097281156687098,iowa
94,0.12602114368092263,0.044209514656415184,iowa
95,0.03415994422866248,0.005709922650466421,iowa
96,0.03572974592920649,0.01451833105790683,iowa
97,0.03220853990084759,0.005117543579082041,iowa
98,0.08351493613169277,0.04284708485600295,iowa
99,0.07249261589829202,0.02112495184281495,iowa
100,0.10635135581464478,0.05737028107144037,iowa
1,0.09700009035872413,0.006551007499774103,kansas
2,0.03274812836565825,0.0028457598178713715,kansas
3,0.11065934526554051,0.03596428721130067,kansas
4,0.06097451543431443,0.025798636037329504,kansas
5,0.043830014224751065,0.010579658605974396,kansas
6,0.032800785433773655,0.006649410924669761,kansas
7,0.10668701442841287,0.0311228264890862,kansas
8,0.11190956463271139,0.016809547823163556,kansas
9,0.06296783559406614,0.01732976455110466,kansas
10,0.19799127356548943,0.04890096320079032,kansas
11,0.1524390243902439,0.06377597109304427,kansas
12,0.10465439067271214,0.017627463680947534,kansas
13,0.05107614734581446,0.003688314113637425,kansas
14,0.13572212639172024,0.04288850556688098,kansas
15,0.1730979863509984,0.07540652118965371,kansas
16,0.11750906376626147,0.05404137342716997,kansas
17,0.16198244525223868,0.06915506693855838,kansas
18,0.10266745165526923,0.04755219419410353,kansas
19,0.07663295045431168,0.01624378535916338,kansas
20,0.08722188555103454,0.016145788243442125,kansas
21,0.038670771306878085,0.012440433517479864,kansas
22,0.1668237915666781,0.09140383956119301,kansas
23,0.20519045625784849,0.08827961490163248,kansas
24,0.15876464323748668,0.07765708200212992,kansas
25,0.0832814584259671,0.022098710538016895,kansas
26,0.090599599982978,0.0401293672071152,kansas
27,0.1118782299741602,0.013969638242894057,kansas
28,0.19270833333333334,0.044583333333333336,kansas
29,0.1628222523744912,0.05872625508819539,kansas
30,0.15388389206868355,0.06986917416189697,kansas
31,0.25927193395217524,0.14039440475681225,kansas
32,0.3771254868433552,0.06649567778094424,kansas
33,0.19716431841415175,0.12373883283701498,kansas
34,0.6066710572192306,0.419478557316081,kansas
35,0.6396052212671124,0.5199436030381589,kansas
36,0.3285617482635948,0.2350076232424191,kansas
37,0.2804352464262855,0.14000426712182631,kansas
38,0.08453625352580056,0.030073004811680768,kansas
39,0.09897010801306204,0.01209913757012476,kansas
40,0.24700799308705984,0.12801901058543963,kansas
41,0.23696967097078633,0.14761271502724035,kansas
42,0.07560418730883557,0.02270279584715461,kansas
43,0.11582475069478503,0.03960274644433546,kansas
