feature,baseline,5_ordinal_uniform,5_ordinal_quantile,5_ordinal_kmeans,5_onehot_uniform,5_onehot_quantile,5_onehot_kmeans,6_ordinal_uniform,6_ordinal_quantile,6_ordinal_kmeans,6_onehot_uniform,6_onehot_quantile,6_onehot_kmeans,7_ordinal_uniform,7_ordinal_quantile,7_ordinal_kmeans,7_onehot_uniform,7_onehot_quantile,7_onehot_kmeans,8_ordinal_uniform,8_ordinal_quantile,8_ordinal_kmeans,8_onehot_uniform,8_onehot_quantile,8_onehot_kmeans,9_ordinal_uniform,9_ordinal_quantile,9_ordinal_kmeans,9_onehot_uniform,9_onehot_quantile,9_onehot_kmeans,10_ordinal_uniform,10_ordinal_quantile,10_ordinal_kmeans,10_onehot_uniform,10_onehot_quantile,10_onehot_kmeans,p_values
monthly housing costs - $1000 1999,0.671388412302271,0.6730916926224411,0.6711737594266792,0.6712273506621304,0.6714251707066378,0.6711634875156335,0.6710742650666452,0.6736629567075927,0.6711008504075496,0.6709287435023903,0.6699039587076193,0.6702295697763844,0.6697358102014697,0.6729653200645059,0.6713013670438115,0.6706842304197181,0.6692714030546377,0.6699739642367498,0.6699162517998544,0.6717392115253307,0.6710390128813832,0.6713353895053457,0.6668383416624076,0.6698826168593363,0.6700885011379394,0.6724963336379068,0.6709047404646384,0.6711538641016557,0.6685008592293222,0.6697287413220578,0.6691517052875268,0.671709693122877,0.6706734649189827,0.6710742407844819,0.6680268269717369,0.6700562026785778,0.669235605103294,0.007372150223568463
monthly housing costs - $2000 or higher,0.683037285690881,0.6826698639275608,0.6864845371337808,0.6820546189863599,0.6811871234512415,0.6779698228867767,0.6819779166210947,0.6814638834332197,0.686158337152419,0.6817993297321211,0.680964954914134,0.6761117282860168,0.6818137204998644,0.6822021739055686,0.6865116501620887,0.682749964349939,0.6819791994311298,0.675348208010368,0.6811220254951564,0.6814772101771215,0.6868329841537627,0.683051971085218,0.6810197986791043,0.6752586936725,0.6816392344631133,0.6821812341160471,0.6866935366683736,0.6828317836609235,0.6814960364335934,0.6737203814131877,0.6812694470386437,0.6819718807458498,0.6867122320998317,0.6826782390732924,0.6803551810022075,0.6735322997487329,0.6808301270446436,4.096433327178942e-07
monthly housing costs - median,0.6730451251510006,0.6766250546851222,0.6676449910865441,0.6700429642763783,0.6750340764818591,0.6663334690126609,0.6661389134241452,0.6742463791131404,0.6682851005818319,0.6696657684468905,0.6708863535712268,0.6666222345443085,0.6646871775343729,0.6697614157421617,0.6667838907516205,0.6704696387755239,0.665243175519879,0.6653429415976748,0.6657244360410794,0.6719296271893711,0.6672999448716662,0.6708412100074597,0.6662593668110125,0.6649631150337842,0.6658246233831694,0.6740681270333314,0.6672077788535079,0.6700027036781486,0.6700611992878771,0.6658360782718186,0.6662533221407988,0.6742592844170191,0.6675246591089574,0.6703329274945696,0.6707173884473883,0.6657841724654923,0.6673469435408628,5.6195943030725876e-05
percent owner-occupied housing units,0.538775845498798,0.5651924625274144,0.5593371860718819,0.5492251423395011,0.5586789469139511,0.5443084693530504,0.5437652902937168,0.5573849206057061,0.5566472775534999,0.549946454688478,0.5490476951535527,0.5412849694558822,0.5437315745578257,0.5486051770015711,0.5550758456920968,0.5466365393349969,0.5441155203961106,0.540135347542618,0.5406277317761619,0.5464295502527974,0.5537107510000683,0.543964222713171,0.5426231163295541,0.539027207670527,0.5396019856750874,0.5440925724344516,0.554664659817751,0.5432037484442365,0.5410255733173286,0.5391116579407107,0.5389752873549927,0.5444248488000307,0.5542828230935374,0.5420146620875773,0.5406952175235863,0.5381331592914385,0.5382330891664341,0.44660265783037695
average family size,0.6705614672524214,0.6767331455837927,0.6754523426135921,0.6705332283313438,0.6681437383000386,0.667603484683715,0.6639460489581018,0.6723842672334394,0.6755079228132319,0.6694462876271893,0.6634475059987691,0.6663863926811597,0.6628265628093402,0.6718440970321143,0.6746658630770467,0.6687472098153351,0.6625772885708077,0.6633195043158693,0.6617536500077938,0.6733295285895816,0.6746563394524284,0.6698765101334511,0.66380333289594,0.6628283123644569,0.6632450353399075,0.6726561210369961,0.67498936463858,0.6701709872155546,0.6608526588329197,0.6631110776140398,0.6630103379028552,0.6714030683932471,0.674857802701734,0.6698067182700663,0.659810758845524,0.6627769440798467,0.6618918174991658,0.00021426010368347093
foreign born,0.5943297256905337,0.6243890932945264,0.5983141532452075,0.5991148719336973,0.6193443018254978,0.5932331628053813,0.5983299331862938,0.6156516530240819,0.5980539574039485,0.5949760373703011,0.6092782106535589,0.5919320760139833,0.5937696967407656,0.6124382008711666,0.5970602250561711,0.5945751784517819,0.6059726742150066,0.5899944420185134,0.5914100714759848,0.608064933832852,0.5963059349292344,0.5908543926641902,0.6011788321434737,0.5885070794520098,0.5878632173839564,0.6042382912924771,0.5955860355273719,0.59103215417653,0.5973782910044794,0.5882254216042107,0.588171139928008,0.6024441956013448,0.5954439996474081,0.5910617434038227,0.5956540524434801,0.5878695351984332,0.5876566067226368,0.05257228704957132
percent of tot. population in poverty,0.64503321451434,0.6516965405846455,0.6603230906883915,0.6504408019987573,0.6412652547437154,0.6453281475880136,0.6383371316092036,0.6493044837110099,0.6600993008564842,0.6494367929255167,0.6380351885764004,0.6423108927365742,0.6380733137219577,0.6485953952729573,0.6592678246606719,0.6493659783285405,0.6386586472398723,0.6413756783152689,0.6342593451444919,0.6459990086912962,0.6593424066380762,0.6484370517852784,0.6354560725133989,0.6414090391703862,0.6353196089653087,0.6462504596993373,0.6596890785643215,0.647441752298961,0.6364829542831025,0.6404247814802644,0.6345411449705758,0.647131785906438,0.6586501855376418,0.6477100046462184,0.6367502588054158,0.6390035347831031,0.6357786633937247,0.0004796383347330353
"management, business, science, and arts occupations",0.6870242620850043,0.6873370975298769,0.6883420236501006,0.6874429356545362,0.6546936763161568,0.670642098964297,0.6650074297116255,0.6865305629877246,0.6885237631469499,0.6870859151875982,0.6608837412381907,0.6674304223149503,0.6599111622002591,0.6869194407436761,0.6884513778524097,0.6868040819917695,0.6622919810818669,0.6627431282419897,0.6563424617613585,0.6872208801860054,0.6885852829735277,0.6873087413437848,0.65799573801349,0.6619696558093532,0.6536313505196323,0.6871322883833618,0.6886267045113039,0.6872929507524941,0.6529848037169808,0.6596375659566859,0.6537403880953562,0.6868966237229734,0.6885815635905577,0.6871170680491462,0.6538487957981586,0.6566348275437043,0.6522490693605569,6.945260059072394e-28
service occupations,0.6412643335092303,0.652290479103882,0.6467524978293472,0.6437560174090535,0.632909931911664,0.6302254344464064,0.624375343655503,0.6464174392668645,0.6464655373316284,0.6431769779167233,0.6287559420523496,0.6283431310959046,0.6247074578988429,0.6464330218313831,0.6461618141414605,0.6419406309343908,0.626104897467424,0.6256292420015304,0.6213458522292092,0.6461661087472149,0.6450073914889991,0.6408852088524459,0.6258910419105695,0.6235293289142313,0.6218012965292428,0.6449823223771672,0.6455916451188788,0.6390408601219157,0.6226506878784763,0.6230188848941622,0.6192731231311874,0.6450068801298184,0.6458329118187531,0.6398860345321362,0.6227152287711526,0.6220779181294499,0.6196553994516161,8.254642007661965e-07
sales and office occupations,0.6890729765926031,0.6889908711848259,0.6896048793426522,0.6894686004887094,0.6870760156455599,0.6894689143020217,0.6875198996962542,0.6893241897287596,0.6895342110868224,0.68921016035304,0.6874686137617638,0.6888985057867248,0.6866423458529138,0.6891391915459434,0.689492642465383,0.6892332353140932,0.687747314772234,0.6879371691112287,0.6855554206650812,0.6893913735427606,0.6895535749654031,0.6893304294543553,0.6862661330774524,0.6871695779050546,0.6869336867235443,0.6888640507669169,0.6895502663642659,0.6892475448985284,0.6867953234523284,0.6880467068818724,0.6863265989479752,0.6892354665300178,0.689558009077388,0.6893432007896169,0.6875378928496657,0.6883902413254342,0.6865774894979897,0.0001568865368833222
blue collar occupations,0.6571895843692975,0.6605604793230097,0.6560993298261205,0.6580300627245314,0.657923620199851,0.6559163676628387,0.6562013051532124,0.6601739191758722,0.6565525130131217,0.6577097622577378,0.6562181814942591,0.6564151289804754,0.6555475900923837,0.6598149666293645,0.6558365817193681,0.6560517061498197,0.6567922923127681,0.6557682672517099,0.6542384442185223,0.6591829964146562,0.6552938876882956,0.6571824354080708,0.6550085094906735,0.6551344604433885,0.654984319682874,0.6587798537636805,0.6550247798431659,0.6577027646183712,0.6552912611349833,0.6549607845631384,0.6543083822654003,0.6573864503000235,0.6552893796691089,0.6576146306143943,0.6535963298239467,0.6543343817038036,0.6543599277597809,0.056502024266716126
