feature,baseline,2_ordinal_uniform,2_ordinal_quantile,2_ordinal_kmeans,2_onehot_uniform,2_onehot_quantile,2_onehot_kmeans,3_ordinal_uniform,3_ordinal_quantile,3_ordinal_kmeans,3_onehot_uniform,3_onehot_quantile,3_onehot_kmeans,4_ordinal_uniform,4_ordinal_quantile,4_ordinal_kmeans,4_onehot_uniform,4_onehot_quantile,4_onehot_kmeans,5_ordinal_uniform,5_ordinal_quantile,5_ordinal_kmeans,5_onehot_uniform,5_onehot_quantile,5_onehot_kmeans,6_ordinal_uniform,6_ordinal_quantile,6_ordinal_kmeans,6_onehot_uniform,6_onehot_quantile,6_onehot_kmeans,7_ordinal_uniform,7_ordinal_quantile,7_ordinal_kmeans,7_onehot_uniform,7_onehot_quantile,7_onehot_kmeans,8_ordinal_uniform,8_ordinal_quantile,8_ordinal_kmeans,8_onehot_uniform,8_onehot_quantile,8_onehot_kmeans,9_ordinal_uniform,9_ordinal_quantile,9_ordinal_kmeans,9_onehot_uniform,9_onehot_quantile,9_onehot_kmeans,10_ordinal_uniform,10_ordinal_quantile,10_ordinal_kmeans,10_onehot_uniform,10_onehot_quantile,10_onehot_kmeans,p_values
service occupations,64.3738,65.1632,65.6292,64.6913,65.1628,65.6293,64.6913,65.1575,65.2359,64.379,64.9626,64.6642,63.7282,66.6688,64.6845,64.4898,65.0603,63.466,63.266,65.2192,64.7835,64.6181,63.057,63.0567,62.58,64.7935,64.8855,64.4721,62.9861,62.8709,62.4473,64.7595,64.7731,64.3573,62.6686,62.5304,62.3,65.0012,64.6686,64.2566,62.8706,62.3715,61.9961,64.6782,64.7694,64.3301,62.2487,62.3815,62.1411,64.5967,64.6997,64.2188,62.1073,62.3513,61.9455,3.065380311875835e-05
sales and office occupations,68.8539,68.8736,68.9455,68.9451,68.8736,68.9455,68.9451,68.9234,68.9404,68.9407,68.7798,68.8574,68.8985,68.8961,68.9446,68.8668,68.8343,68.8957,68.762,68.8836,68.9061,68.8711,68.695,68.8553,68.6997,68.8619,68.9082,68.8994,68.7714,68.7811,68.6401,68.8935,68.8905,68.866,68.7587,68.7368,68.6138,68.8826,68.9161,68.8751,68.6682,68.7738,68.7027,68.8331,68.9156,68.8696,68.7351,68.7934,68.6436,68.868,68.9021,68.8862,68.7234,68.8178,68.5998,0.013612853813216438
blue collar occupations,65.364,66.2027,65.976,65.9535,66.2028,65.9761,65.9536,66.8272,65.6042,65.6553,66.787,65.5999,65.6331,65.9006,65.4227,65.4766,65.6795,65.4347,65.4692,65.6642,65.3855,65.4711,65.4719,65.3887,65.4036,65.8028,65.2778,65.4364,65.5833,65.309,65.3289,65.6179,65.2993,65.2911,65.4108,65.3301,65.2171,65.5634,65.1694,65.4737,65.3873,65.1518,65.4173,65.5469,65.2034,65.4515,65.3728,65.2269,65.3265,65.4144,65.2373,65.4096,65.1732,65.2294,65.2375,0.29253662235078026
earnings $1 - $24'999,68.8769,68.1253,68.9723,68.9714,68.1253,68.9723,68.9714,68.9221,68.9756,68.8979,68.5933,68.7899,68.3291,68.8396,68.9742,68.9141,67.8872,68.4684,67.9835,68.879,68.9731,68.921,68.0602,68.3114,67.9327,68.8785,68.9676,68.8719,67.7758,68.0537,67.8673,68.8693,68.9595,68.9146,67.889,67.9549,67.7697,68.8684,68.9679,68.8782,67.7534,67.9664,67.716,68.867,68.9632,68.8875,67.8149,67.8634,67.763,68.8847,68.962,68.8809,67.5595,67.8631,67.748,1.135284156634837e-06
earnings $25'000 - 49'999,68.9098,68.9118,68.9132,68.8845,68.9119,68.9133,68.8845,68.8948,68.9523,68.8979,68.849,68.8665,68.9057,68.9612,68.9356,68.9315,68.6577,68.8709,68.8532,68.9332,68.9472,68.895,68.4397,68.7764,68.6905,68.9263,68.9526,68.9303,68.4201,68.739,68.5839,68.9165,68.9552,68.9244,68.3861,68.6822,68.5963,68.9306,68.9473,68.9203,68.4489,68.7075,68.5803,68.9129,68.9565,68.93,68.5439,68.7766,68.463,68.9334,68.9457,68.9205,68.4137,68.7153,68.4519,0.000424821286801946
earnings $50'000 - 74'999,68.428,68.8089,68.7555,68.6442,68.8089,68.7556,68.6443,68.5425,68.5965,68.5127,68.2542,68.5748,68.3199,68.5535,68.5859,68.5397,68.1572,68.357,68.2869,68.4798,68.5371,68.5046,68.215,68.2898,68.19,68.5458,68.5444,68.4899,68.1947,68.3201,68.0749,68.454,68.5065,68.4769,68.1046,68.2343,68.0527,68.4176,68.5296,68.5383,68.0262,68.2355,68.1695,68.4746,68.5009,68.4351,68.1829,68.1122,68.1063,68.4626,68.5128,68.4904,68.0854,68.1797,68.1111,0.05638867547784975
earnings $75'000 or more,68.9287,68.8532,68.9728,68.8343,68.8532,68.9729,68.8343,68.7203,68.9789,68.8651,68.6788,68.5376,68.8574,68.8296,68.9766,68.9194,68.7869,68.5169,68.7458,68.8967,68.9798,68.9306,68.691,68.3679,68.3911,68.9245,68.9781,68.925,68.397,68.1961,68.4421,68.9092,68.9787,68.9349,68.3975,68.1565,68.3948,68.9187,68.9765,68.9424,68.2531,67.9521,68.2416,68.9252,68.9747,68.9383,68.0199,67.9505,68.2812,68.9355,68.9745,68.9391,67.8397,67.8649,68.1471,2.795245453290103e-06
median earnings,68.9388,68.748,68.919,68.9597,68.7479,68.9191,68.9598,68.9633,68.8202,68.9741,68.7801,68.4493,68.7927,68.7656,68.8103,68.9141,67.9364,67.9662,68.1156,68.8699,68.7857,68.9089,67.3122,67.8841,67.8649,68.9696,68.7757,68.9291,68.0183,67.7144,67.6475,68.9749,68.7606,68.9401,68.3013,67.6073,67.5093,68.9348,68.7721,68.8868,67.64,67.4984,67.1812,68.9372,68.7438,68.9169,67.3363,67.4797,67.2516,68.9448,68.7557,68.9341,67.2508,67.36,67.1687,2.999387208563429e-08
less than highschool,67.7233,67.8457,68.6723,67.7051,67.845,68.6724,67.7051,67.2793,68.5142,67.8014,67.2558,67.5051,67.289,67.2419,68.5434,67.9017,67.0886,67.3099,66.9374,67.6825,68.4826,68.0239,67.1979,67.2962,66.61,67.8629,68.4835,67.9925,67.0623,66.8996,66.5455,67.9015,68.5075,67.9172,66.6818,66.8723,66.4346,67.7848,68.4726,67.9111,66.4397,66.7169,66.5123,67.7458,68.4781,67.9252,66.5515,66.6648,66.5304,67.8079,68.4691,67.9142,66.6099,66.4909,66.4814,1.546117908839091e-05
highschool,65.9575,67.2874,67.1891,67.3163,67.2874,67.1891,67.3164,66.354,66.3885,66.3917,66.347,66.386,66.3821,66.4918,66.3448,66.2578,66.4928,66.3052,66.1791,66.2559,66.2305,66.0706,66.2346,66.1413,66.0869,66.2402,66.1075,66.1186,66.1504,66.0472,66.0668,66.1146,66.1396,65.9673,66.1372,66.0357,65.9633,66.12,66.0947,66.0318,66.0819,66.0242,66.0023,65.971,66.0878,66.0234,65.9684,66.0367,65.9932,66.0552,66.0671,65.9967,65.9918,65.9664,66.007,0.507317979775878
college or associate,67.1356,68.9529,67.745,67.5776,68.9531,67.745,67.5775,67.471,67.3337,67.3975,67.252,67.2183,67.1964,67.8915,67.3063,67.0214,67.377,67.1169,66.6946,67.7402,67.1816,67.1896,67.0294,67.0343,66.5217,67.3884,67.1309,67.1012,66.7448,66.9286,66.4474,67.5451,67.0844,67.1938,66.782,66.8066,66.5812,67.3655,67.121,67.2214,66.615,66.8914,66.5089,67.2673,67.0835,67.0669,66.3681,66.8543,66.3183,67.3726,67.063,67.136,66.6197,66.7632,66.3816,0.009317738322197799
bachelor or higher,67.7529,67.9153,68.1228,67.9637,67.9153,68.1229,67.9637,67.6612,68.0528,67.6997,67.6178,67.8647,67.695,67.6024,68.0886,67.7281,67.5587,67.6173,67.6374,67.841,68.1072,67.6499,67.6525,67.542,67.5153,67.9135,68.0702,67.7852,67.4381,67.3714,67.4626,67.9475,68.1318,67.7328,66.9309,67.3525,67.369,67.798,68.1348,67.7675,66.7476,67.0909,67.2334,67.8167,68.1097,67.7513,66.7062,66.8884,67.2048,67.8028,68.1487,67.7512,66.8529,66.9357,67.184,0.0004122345691173248
