state,district,office,year,target
connecticut,85,state house,2016,1
connecticut,104,state house,2016,1
connecticut,105,state house,2016,0
connecticut,102,state house,2016,1
connecticut,98,state house,2016,1
connecticut,118,state house,2016,1
connecticut,70,state house,2016,0
connecticut,92,state house,2016,1
connecticut,95,state house,2016,1
connecticut,93,state house,2016,1
connecticut,97,state house,2016,1
connecticut,116,state house,2016,1
connecticut,115,state house,2016,1
connecticut,47,state house,2016,0
connecticut,48,state house,2016,1
connecticut,139,state house,2016,1
connecticut,37,state house,2016,0
connecticut,45,state house,2016,0
connecticut,40,state house,2016,1
connecticut,41,state house,2016,1
connecticut,42,state house,2016,0
connecticut,38,state house,2016,0
connecticut,39,state house,2016,1
connecticut,43,state house,2016,1
connecticut,46,state house,2016,1
connecticut,8,state house,2016,0
connecticut,53,state house,2016,0
connecticut,56,state house,2016,1
connecticut,52,state house,2016,0
connecticut,50,state house,2016,1
connecticut,54,state house,2016,1
connecticut,44,state house,2016,0
connecticut,51,state house,2016,1
connecticut,49,state house,2016,1
delaware,31,state house,2016,1
delaware,32,state house,2016,1
delaware,29,state house,2016,1
delaware,30,state house,2016,0
delaware,33,state house,2016,0
delaware,34,state house,2016,0
delaware,28,state house,2016,1
delaware,2,state house,2016,1
delaware,3,state house,2016,1
delaware,17,state house,2016,1
delaware,16,state house,2016,1
delaware,13,state house,2016,1
delaware,4,state house,2016,1
delaware,19,state house,2016,1
delaware,21,state house,2016,0
delaware,1,state house,2016,1
delaware,5,state house,2016,1
delaware,6,state house,2016,1
delaware,7,state house,2016,1
delaware,8,state house,2016,1
delaware,9,state house,2016,0
delaware,10,state house,2016,1
delaware,11,state house,2016,0
delaware,12,state house,2016,0
delaware,15,state house,2016,1
delaware,18,state house,2016,1
delaware,22,state house,2016,0
delaware,23,state house,2016,1
delaware,24,state house,2016,1
delaware,25,state house,2016,1
delaware,26,state house,2016,1
delaware,27,state house,2016,1
delaware,14,state house,2016,1
delaware,20,state house,2016,0
delaware,35,state house,2016,0
delaware,36,state house,2016,0
delaware,37,state house,2016,0
delaware,38,state house,2016,0
delaware,39,state house,2016,0
delaware,40,state house,2016,0
delaware,41,state house,2016,0
florida,21,state house,2016,0
florida,10,state house,2016,0
florida,5,state house,2016,0
florida,6,state house,2016,0
